Original Transcription,Corrected Transcription
"Some of you might have caught on yesterday when I said Hannah and Dee's time in the tribe was up, but I didn't say they were out of this game.","Some of you might have caught on yesterday when I said Hannah and Dee's time in the tribe was up, but I didn't say they were out of this game."
Redemption island offers an opportunity to duel your way back into this competition.,Redemption island offers an opportunity to duel your way back into this competition.
"Tribe members voted out come here to Redemption island to live with whoever's waiting for them before the two duel in this arena, no one saw it coming at all, which definitely doesn't say much for the brain capacity of the people around this tribe.","Tribe members voted out come here to Redemption island to live with whoever's waiting for them before the two duel in this arena, no one saw it coming at all, which definitely doesn't say much for the brain capacity of the people around this tribe."
Lose the duel and you are gone for good.,Lose the duel and you are gone for good.
Win and you lose.,Win and you lose.
Live to fight another duel.,Live to fight another duel.
Survive an isolated life on the island.,Survive an isolated life on the island.
"Survive your duels and eventually one of you will get an opportunity to re enter this game and another shot at the $100,000 Redemption Islands.","Survive your duels and eventually one of you will get an opportunity to re enter this game and another shot at the $100,000 Redemption Island."
"For me, it's incredible.","For me, it's incredible."
"It gives you another shot, you know, the chance to be able to actually earn your right back into the game.","It gives you another shot, you know, the chance to be able to actually earn your right back into the game."
"So, Shayna, how are you feeling after voting Hannah out last night?","So, Shayna, how are you feeling after voting Hannah out last night?"
I think we'd be a lot better off if we got her back.,I think we'd be a lot better off if we got her back.
"Whether she's keen to come back or not, I think a lot of us are feeling pretty stink about our decisions, so if we have the opportunity, we'll take it.","Whether she's keen to come back or not, I think a lot of us are feeling pretty stink about our decisions, so if we have the opportunity, we'll take it."
Heartbeat.,Heartbeat.
Words don't always mean everything.,Words don't always mean everything.
"Hannah, who do you think behind your axing at Tribal Council?","Hannah, who do you think behind your axing at Tribal Council?"
No comment.,No comment.
"Dee, what's it like walking into this arena and facing everyone who voted you out last night?","Dee, what's it like walking into this arena and facing everyone who voted you out last night?"
I think it's probably just as scary for them to face us as it is for us to face them.,I think it's probably just as scary for them to face us as it is for us to face them.
"Well, your duel is about to start and something tells me this challenge is going to be a cracker.","Well, your duel is about to start and something tells me this challenge is going to be a cracker."
"For today's duel, you're going to use ropes and sticks to make a long pole.","For today's duel, you're going to use ropes and sticks to make a long pole."
You're going to use that pole to retrieve three keys.,You're going to use that pole to retrieve three keys.
Those three keys open three locks.,Those three keys open three locks.
The first person through the door stays alive in this gap.,The first person through the door stays alive in this gap.
Take your spots.,Take your spots.
Let's get ready to start.,Let's get ready to start.
Survivors ready?,Survivors ready?
Go.,Go.
Hannah.,Hannah.
This challenge is on.,This challenge is on.
Dee with some interesting strategy.,Dee with some interesting strategy.
While Hannah is just going for gold tying knots.,While Hannah is just going for gold tying knots.
A lot of strategy involved in this challenge.,A lot of strategy involved in this challenge.
Hannah thinks her pole is long enough to get that first key.,Hannah thinks her pole is long enough to get that first key.
"Yep, yep, yep.","Yep, yep, yep."
Perfect.,Perfect.
Perfect.,Perfect.
"Nice, Hannah.","Nice, Hannah."
Good lead.,Good lead.
Good lead.,Good lead.
Hannah secures her first key before Dee even has a knot tied.,Hannah secures her first key before Dee even has a knot tied.
"Come on, Dee.","Come on, Dee."
Just concentrate.,Just concentrate.
Dee making one long pole.,Dee making one long pole.
"If this strategy works, she could get three keys in quick succession.","If this strategy works, she could get three keys in quick succession."
But she has to keep moving.,But she has to keep moving.
Good.,Good.
Hannah thinks she can get her second key.,Hannah thinks she can get her second key.
Dee falling behind.,Dee falling behind.
"Hannah's pole is long enough, but is it strong enough?","Hannah's pole is long enough, but is it strong enough?"
"Hannah with her second key, working on her third key.","Hannah with her second key, working on her third key."
"Finally, Dee making an attempt at her first key.","Finally, Dee making an attempt at her first key."
"2, 1.","2, 1."
"And just like that, Dee is back in the game.","And just like that, Dee is back in the game."
Hannah working on her second lock.,Hannah working on her second lock.
You got this.,You got this.
"You got this, Hannah.","You got this, Hannah."
"These locks are tricky, but Hannah's making it look easy.","These locks are tricky, but Hannah's making it look easy."
All that work and Dee's pole was only long enough to retrieve her first key.,All that work and Dee's pole was only long enough to retrieve her first key.
Dee has to go back and add more bamboo.,Dee has to go back and add more bamboo.
Dee going back to try and get her second kick.,Dee going back to try and get her second kick.
Hannah furiously working on her time.,Hannah furiously working on her time.
She's got it.,She's got it.
D on her second key and we're all tied up.,D on her second key and we're all tied up.
Hannah going for a third key.,Hannah going for a third key.
Take it slow.,Take it slow.
Hannah can get this key.,Hannah can get this key.
She can start working on her final lock.,She can start working on her final lock.
"Remember, this is do or die.","Remember, this is do or die."
Hannah's got her third key.,Hannah's got her third key.
The knot tying has been granted.,The knot tying has been granted.
Good.,Good.
De's got to work hard.,De's got to work hard.
She's got to dig it in.,She's got to dig it in.
This could be it.,This could be it.
Hannah just has to get that third lock undone.,Hannah just has to get that third lock undone.
But her hands are shaking.,But her hands are shaking.
Hannah is through the door and lives to fight another day in this Hannah D.,Hannah is through the door and lives to fight another day in this Hannah D.
That was a great duel.,That was a great duel.
Very different approaches.,Very different approaches.
"Hannah, congratulations.","Hannah, congratulations."
How you feeling right now?,How you feeling right now?
"I feel pretty good, but it was awesome, too, to hear the team supporting you.","I feel pretty good, but it was awesome, too, to hear the team supporting you."
"You know, a couple of times I was like.","You know, a couple of times I was like."
But I could hear them yelling my name.,But I could hear them yelling my name.
"So I was like, just calm.","So I was like, just calm."
Think about what I'm doing.,Think about what I'm doing.
"Dee, unfortunately, your shot at redemption and the $100,000 is over.","Dee, unfortunately, your shot at redemption and the $100,000 is over."
What's going through your mind?,What's going through your mind?
One thing everyone didn't know is that survivor's my life.,One thing everyone didn't know is that survivor's my life.
I've watched every episode of every season at least three times.,I've watched every episode of every season at least three times.
I listen to podcasts for about 40 hours a week.,I listen to podcasts for about 40 hours a week.
I've listened to about 600 hours of audiobooks.,I've listened to about 600 hours of audiobooks.
I follow every blogger.,I follow every blogger.
I'm Survivor super fan.,I'm Survivor super fan.
My life has been a survivor fan.,My life has been a survivor fan.
It's just not been a survivor.,It's just not been a survivor.
"Dee, you are the first person eliminated from Survivor New Zealand.","Dee, you are the first person eliminated from Survivor New Zealand."
"Toss your buff in the fire, say your goodbyes.","Toss your buff in the fire, say your goodbyes."
Your time in this game is over.,Your time in this game is over.
"Hannah, one deal down, many more to go.","Hannah, one deal down, many more to go."
"If you want to stay alive in this game, how do you feel about heading back to Redemption island alone tonight?","If you want to stay alive in this game, how do you feel about heading back to Redemption island alone tonight?"
I'll figure it out.,I'll figure it out.
There's some good stuff there I've got myself.,There's some good stuff there I've got myself.
I can talk to myself.,I can talk to myself.
Amen.,Amen.
Has anyone got any sympathy for Hannah?,Has anyone got any sympathy for Hannah?
Sympathy?,Sympathy?
I don't think she needs something.,I don't think she needs something.
She's obviously proven herself and there's a lot of feeling of regret going on around here.,She's obviously proven herself and there's a lot of feeling of regret going on around here.
Is that common in your tribe?,Is that common in your tribe?
I can only speak for myself.,I can only speak for myself.
"I'm not sure where everyone else is at, but definite feeling of regret.","I'm not sure where everyone else is at, but definite feeling of regret."
Yep.,Yep.
"Sala, do you regret voting Hannah out?","Sala, do you regret voting Hannah out?"
Regret voting anyone out?,Regret voting anyone out?
"You know, you come together, you're a family.","You know, you come together, you're a family."
You don't want to vote a family member out.,You don't want to vote a family member out.
Sucks.,Sucks.
"But, you know, big ups to Hannah.","But, you know, big ups to Hannah."
"She always been a strong chick and she's proven to all of us she's dangerous, man.","She always been a strong chick and she's proven to all of us she's dangerous, man."
"Keep being dangerous, girl.","Keep being dangerous, girl."
"You got this, man.","You got this, man."
"Hannah, you need to head back and await your next opponent and your next duel.","Hannah, you need to head back and await your next opponent and your next duel."
"Everyone else, grab your stuff and head back to your camps.","Everyone else, grab your stuff and head back to your camps."
Look forward to seeing you at the next challeng Next time on Survivor New zealand.,Look forward to seeing you at the next challeng Next time on Survivor New zealand.
I just want trust.,I just want trust.
That's the main thing that I'm after in this game.,That's the main thing that I'm after in this game.
New deals are on the table at Mogaton.,New deals are on the table at Mogaton.
So will you vote Tom out if it comes to it.,So will you vote Tom out if it comes to it.
And new targets are in sights at Hermosa.,And new targets are in sights at Hermosa.
"If we lost immunity tomorrow, me and Mike were thinking, nah, I don't trust Georgia.","If we lost immunity tomorrow, me and Mike were thinking, nah, I don't trust Georgia."
I don't know why.,I don't know why.
I just can't quite pin it.,I just can't quite pin it.
"For the first time, immunity is up for grabs.","For the first time, immunity is up for grabs."
"Oh, I felt that Michael and tribes put everything on the line.","Oh, I felt that Michael and tribes put everything on the line."
Run.,Run.
"Faster, faster, faster.","Faster, faster, faster."
Straight five.,Straight five.
Mine.,Mine.
Go.,Go.
"Go, Tom, go.","Go, Tom, go."
I came in claiming that I had the most knowledge about the game.,I came in claiming that I had the most knowledge about the game.
At no point during my time here was that disproven.,At no point during my time here was that disproven.
There is nothing in the last few days of my experience of Survivor that I'd do differently.,There is nothing in the last few days of my experience of Survivor that I'd do differently.
I think that looking back and overthinking it and regretting is just going to drive you bonkers.,I think that looking back and overthinking it and regretting is just going to drive you bonkers.
It.,It.
