Sentence,Translation,English Translation,Error,Explanation 
"I really know very little about D, but I just looked at her and I thought, you're going to be a bit trouble further down.","So molto poco di D, ma l'ho appena guardata e ho pensato che avresti avuto qualche problema piu' in basso.","I know very little about D, but I just looked at her, and I thought you'd have some problems downstairs.",,
Nathan's coming now.,Nathan sta arrivando.,Nathan's on his way.,,
You've got to kind of watch how he is.,Devi guardare com'e' fatto.,You have to look at him.,,
He's thinking we're just going to get voted off because we're old.,Pensa che ci disapproveranno solo perche' siamo vecchi.,He thinks they're just gonna disapprove of us because we're old.,,
So don't play on that with him.,Quindi non giocarci con lui.,So don't play with him.,,
Yeah.,Si'.,Yeah.,,
I'm concerned of the stage.,Sono preoccupato per il palcoscenico.,I'm worried about the stage.,,
I'm the old man of the tribe.,Sono il vecchio della tribu'.,I'm the old man from the tribe.,,
"There's Barb, obviously.","C'e' Barb, ovviamente.","Barb's here, of course.",,
He's on that sort of same 40 to 50 age bracket with myself.,E' sulla stessa fascia d'età tra i 40 e i 50 anni con me stesso.,He's in the same age group as me between the ages of 40 and 50.,,
And we've got.,E ce l'abbiamo.,And we do.,,
"Now we've got five young ones, as in.","Ora ne abbiamo cinque giovani, come...","Now we have five young people, like...",,
In their 20s.,A vent'anni.,Twenty years old.,,
You could totally weave them into a mat.,Potresti intrecciarli completamente in un tappetino.,You could totally weave them into a mat.,,
Don't you reckon?,Non credi?,Don't you think?,,
"We'll need heaps of them, but there's quite a few around.","Ce ne serviranno un mucchio, ma ce ne sono un bel po' in giro.","We're gonna need a lot of them, but there's a lot of them around.",,
Michael's given me his word that he wasn't going to vote me up if it broke down to four.,Michael mi ha dato la sua parola che non mi avrebbe votato se si fosse rotto fino a quattro.,Michael gave me his word that he wouldn't vote for me if it broke to four.,,
The four from this tribe were going through.,I quattro di questa tribu' stavano attraversando.,The four of this tribe were crossing.,,
I'm unsure about that.,Non ne sono sicuro.,I'm not sure.,,
"Okay, so us three definitely together, right?","Ok, quindi noi tre sicuramente insieme, giusto?","Okay, so the three of us are definitely together, right?",,
Yes.,Sì.,Yes.,,
100,100,100,,
"1, 2, 3.","Uno, due, tre.","One, two, three.",,
Yeah.,Si'.,Yeah.,,
We need a fourth.,Ci serve un quarto.,We need a quarter.,,
Yeah.,Si'.,Yeah.,,
Who do you think?,Secondo te?,What do you think?,,
I like Nate.,Mi piace Nate.,I like Nate.,,
Yeah.,Si'.,Yeah.,,
"No, no, no, no, no, no, no, no, no, no.","No, no, no, no, no, no, no, no, no, no.","No, no, no, no, no, no, no, no, no, no.",,
They're all the old people.,Sono tutti anziani.,They're all old.,,
"They already were gonna target you, too.",Avrebbero gia' preso di mira anche te.,They'd have targeted you by now.,,
I heard they were gonna target one because they thought you guys was getting too close.,Ho sentito che l'avrebbero presa di mira perche' pensavano che vi foste avvicinati troppo.,I heard they were gonna target her because they thought you guys were too close.,,
I think I made a mistake.,Credo di aver fatto un errore.,I think I made a mistake.,,
"I already went to Nate and was like, hey, man, you're the man idea.","Sono gia' andato da Nate e ho detto: ""Ehi, amico, sei tu l'idea da uomo.""","I already went to Nate's, and I said, ""Hey, man, you're the man idea.""",,
I reckon that should be us three and him.,Credo che dovremmo essere noi tre e lui.,I think it should be the three of us and him.,,
I don't.,Non lo so.,I don't know.,,
I don't.,Non lo so.,I don't know.,,
"I don't think that's a good idea, but I reckon us three.","Non credo sia una buona idea, ma credo che noi tre.","I don't think that's a good idea, but I think the three of us.",,
"Yeah, for sure.","Si', certo.","Yeah, sure.",,
What are you thinking?,A cosa stai pensando?,What are you thinking?,,
"I think I'm thinking the same thing as everyone else, which is as long as it's not me.","Credo di pensare la stessa cosa di tutti gli altri, a patto che non sia io.","I think I think the same thing as everyone else, as long as it's not me.",,
Is it an idea getting thrown around?,E' un'idea che si fa buttare in giro?,Is that an idea that gets thrown around?,,
"Well, the weakest person, which is.","Beh, la persona piu' debole, cioe'...","Well, the weakest person, I mean...",,
"Yeah, Yeah, I think it is.","Si', si', credo di si'.","Yeah, yeah, I think so.",,
The only person that probably wouldn't do that is Nate.,L'unica persona che probabilmente non lo farebbe e' Nate.,The only person who probably wouldn't is Nate.,,
But I think it's all about.,Ma penso che sia tutto.,But I think that's it.,,
"With the first couple of challenges and stuff, it's about strength and, like, she's lovely and she's mummy, but I don't need a.","Con le prime due sfide e cose del genere, si tratta di forza ed e' adorabile ed e' mamma, ma non ho bisogno di una.","With the first two challenges and things like that, it's about strength and it's lovely and it's Mom, but I don't need one.",,
A mom.,Una mamma.,A mom.,,
I need someone who can.,Ho bisogno di qualcuno che possa farlo.,I need someone to do it.,,
"So I just wanted to fill you in real quick with what's happening, and this absolutely sucks, but I just wanted to see, are we changing?","Quindi volevo solo spiegarti in fretta cosa sta succedendo, e questo fa assolutamente schifo, ma volevo solo vedere, stiamo cambiando?","So I just wanted to explain quickly what's going on, and that totally sucks, but I just wanted to see, are we changing?",,
"Well, I'm just telling you where everyone else is moving and basically they're all going, I'm, like, tossing out, like, his.","Beh, ti sto solo dicendo dove si stanno muovendo tutti gli altri e, in pratica, stanno andando tutti...","Well, I'm just telling you where everyone else is moving, and basically everyone's going...",,
"Everyone thinks Hannah's really weak and everything, and I could See that.","Tutti pensano che Hannah sia molto debole e tutto il resto, e lo vedo.","Everyone thinks Hannah's very weak and everything, and I see it.",,
I could definitely see that.,Me ne sono accorto.,I can see that.,,
"But she is very strong and she is helping out, but I don't know, like, people see her as the weaker player, so.","Ma e' molto forte e sta aiutando, ma non so, la gente la vede come la giocatrice piu' debole, quindi...","But she's very strong and she's helping, but I don't know, people see her as the weakest player, so...",,
"But then Tom, he's.",Ma poi Tom lo e'.,But then Tom is.,,
I don't know if he's actually that strong and then may have a point here.,Non so se in realta' e' cosi' forte e potrebbe avere ragione.,"I don't know if he's actually that strong, and he might be right.",,
"He hasn't done anything strong to show us, you know what I mean?","Non ha fatto niente di forte per mostrarci, capisci cosa intendo?","He didn't do anything strong to show us, you know what I mean?",,
He doesn't look that strong and then I don't trust him.,Non sembra cosi' forte e poi non mi fido di lui.,"She doesn't look that strong, and then I don't trust him.",,
I think he's someone that's gonna switch on you really quickly.,Penso che sia qualcuno che ti accendera' molto velocemente.,I think it's someone who's gonna light you up real fast.,,
It's getting closer to voting time and I haven't really talked to Hannah or Shay again and I'm getting a little bit suspicious because they have been going off with other people and doing things and I'm just wondering.,Si sta avvicinando al tempo di voto e non ho ancora parlato con Hannah o Shay e sto diventando un po' sospettoso perché sono andati via con altre persone e facendo cose e mi chiedo solo.,He's getting close to voting time and I haven't talked to Hannah or Shay yet and I'm getting a little suspicious because they left with other people and doing things and I'm just wondering.,,
Everything is ultimately just going to us to the end.,Alla fine tutto sta andando a noi fino alla fine.,Eventually everything is going to us until the end.,,
Same plan.,Stesso piano.,Same plan.,,
So far so good.,Fin qui tutto bene.,"So far, so good.",,
Yeah.,Si'.,Yeah.,,
So far so good.,Fin qui tutto bene.,"So far, so good.",,
Yeah.,Si'.,Yeah.,,
Always paranoid of.,Sempre paranoico.,Always paranoid.,,
Of what other people are seeing.,Di quello che vedono gli altri.,What other people see.,,
We can't do this again.,Non possiamo farlo di nuovo.,We can't do this again.,,
Walk off home.,Vattene a casa.,Go home.,,
"Yeah, yeah, yeah.","Si', si', si'.","Yeah, yeah, yeah.",,
I know a couple and Survivor is dangerous and so if they view us to be a strong couple.,So che una coppia e' pericolosa e quindi se ci vedono come una coppia forte...,"I know a couple is dangerous, so if they see us as a strong couple...",,
Yeah.,Si'.,Yeah.,,
One of us is going to be on the chopping block.,Uno di noi sara' nel blocco dei tagli.,One of us will be in the cutting block.,,
I don't feel safe heading into tribal.,Non mi sento al sicuro a dirigermi verso la tribale.,I don't feel safe heading for the tribal.,,
"I mean, who knows what could happen.","Cioe', chissa' cosa potrebbe succedere.","I mean, who knows what could happen?",,
No one is giving a clear number.,Nessuno sta dando un numero chiaro.,Nobody's giving a clear number.,,
There's no majority vote yet.,Non c'e' ancora il voto a maggioranza.,There's no majority voting yet.,,
"So, so nervous.",Cosi'... cosi' nervosa.,So... so nervous.,,
"I'm hoping I'm in a good position, but I.","Spero di essere in una buona posizione, ma io...","I hope I'm in a good position, but I...",,
My heart is absolutely pounding.,Il mio cuore sta battendo.,My heart is beating.,,
Being discussed and I feel I have almost been instructed to vote a certain way.,Essere discusso e credo di essere quasi stato incaricato di votare in un certo modo.,To be discussed and I think I was almost in charge of voting in a certain way.,,
Welcome to Tribal Council.,Benvenuti al Consiglio Tribale.,Welcome to the Tribal Council.,,
"In this game, fire represents life.","In questo gioco, il fuoco rappresenta la vita.","In this game, fire represents life.",,
"Once your fire is gone, you are gone from this tribe.","Una volta che il tuo fuoco sara' sparito, te ne sarai andato da questa tribu'.","Once your fire is gone, you'll be gone from this tribe.",,
Day one of Survivor New Zealand and one of the Mogotron tribe will be gone.,Il primo giorno del Sopravvissuto in Nuova Zelanda e una delle tribù Mogotron spariranno.,On the first day of the Survived in New Zealand and one of the Mogotron tribes will disappear.,,
"Tom, how would you feel if that was.","Tom, come ti sentiresti se lo fosse?","Tom, how would you feel if it was?",,
You feel rough?,Ti senti dura?,Are you feeling hard?,,
"You know, we're a long way from home.","Sai, siamo molto lontani da casa.","You know, we're a long way from home.",,
"It's a big trip to make and then to go back so early, so it'd be rough.","E' un grande viaggio da fare e poi tornare cosi' presto, quindi sarebbe dura.","It's a great trip to make and then come back so soon, so it would be tough.",,
"Louisa, do you think there's any game playing going on already?","Louisa, pensi che ci sia gia' qualche gioco in corso?","Louisa, do you think there's any games going on yet?",,
"Day one of Survivor New Zealand, people are talking and going off discussing who they think or what weaknesses people have.","Primo giorno di Sopravvissuto Nuova Zelanda, la gente sta parlando e andando a discutere chi pensano o quali debolezze le persone hanno.","First day of Survived New Zealand, people are talking and going to discuss who they think or what weaknesses people have.",,
We hardly know each other.,Ci conosciamo a malapena.,We barely know each other.,,
You don't even get to spend a night on the island and you've got to send one of your team members home and it's not a nice feeling.,Non puoi nemmeno passare una notte sull'isola e devi mandare a casa uno dei tuoi membri della squadra e non e' una bella sensazione.,You can't even spend one night on the island and you have to send one of your team members home and it's not a good feeling.,,
"Hannah, day one.","Hannah, primo giorno.","Hannah, first day.",,
How difficult is it to vote someone out of this game when you just met each other?,Quanto e' difficile votare qualcuno fuori da questo gioco quando vi siete conosciuti?,How hard is it to vote someone out of this game when you met?,,
That's hard.,E' difficile.,It's hard.,,
This is a hard game.,E' un gioco difficile.,It's a tough game.,,
It is.,Lo e'.,It is.,,
You here to play it?,Sei qui per suonarla?,Are you here to play it?,,
"Yeah, man.","Si', amico.","Yeah, man.",,
I've got things to prove.,Ho delle cose da dimostrare.,I have things to prove.,,
What have you got to prove?,Cos'hai da dimostrare?,What do you have to prove?,,
"People often look at me and just think, oh, here's a pretty girl.","La gente spesso mi guarda e pensa, oh, ecco una bella ragazza.","People often look at me and think, oh, there's a pretty girl.",,
"In a dress that does her hair and makeup, she can't pull her weight.","Con un vestito che si fa i capelli e il trucco, non riesce a tirare il peso.","With a dress that does hair and makeup, he can't pull weight.",,
"But I was out there lifting massive rocks, you know, pulling all my pelts, lifting skills into play.","Ma ero la' fuori a sollevare rocce enormi, sai, a tirare tutte le mie pelli, a sollevare le abilità in gioco.","But I was out there lifting huge rocks, you know, pulling all my skins, lifting the skills at stake.",,
"You can't judge a book by a cover, you know, I've got a lot to prove.","Non puoi giudicare un libro da una copertina, sai, ho molto da dimostrare.","You can't judge a book from a cover, you know, I have a lot to prove.",,
What are you looking for in a good tribe member?,Cosa stai cercando in un buon membro della tribu'?,What are you looking for in a good member of the tribe?,,
Somebody's got my back.,Qualcuno mi guarda le spalle.,Someone's got my back.,,
Do you trust everyone?,Ti fidi di tutti?,Do you trust everyone?,,
"Yes, to an extent.","Si', in un certo senso.","Yeah, in a way.",,
"At the end of the day, it comes down to it's in a game, things can happen, people can turn.","Alla fine della giornata, si riduce a essere in un gioco, le cose possono accadere, le persone possono girare.","At the end of the day, it comes down to being in a game, things can happen, people can spin.",,
You got Hannah's back.,Hai riavuto Hannah.,You got Hannah back.,,
"I mean, you can't really have everyone's back.","Cioe', non puoi davvero riavere tutti indietro.","I mean, you can't really get everyone back.",,
I don't know who's got my back.,Non so chi mi copre le spalle.,I don't know who's got my back.,,
I don't know whose back I've got yet.,Non so ancora di chi sia la schiena.,I still don't know whose back it is.,,
It's day one.,E' il primo giorno.,It's the first day.,,
"It's still so, so early.","E' ancora cosi', cosi' presto.",It's still like this so soon.,,
"Anyone emerging as a leader, if anyone, I'd have to say old Tony here, he's had a wealth of experience building and he really knows his stuff and I think we all listen and respect his opinion.","Chiunque stia emergendo come leader, se c'è qualcuno, dovrei dire il vecchio Tony qui, ha avuto una grande esperienza di costruzione e sa davvero le sue cose e penso che tutti noi ascoltiamo e rispettiamo la sua opinione.","Whoever is emerging as a leader, if there is anyone, I should say old Tony here, had a great construction experience and really knows his things and I think we all listen and respect his opinion.",,
"Tony, do you feel like you're a leader?","Tony, ti senti un leader?","Tony, do you feel like a leader?",,
"Yeah, I think I am.","Si', credo di si'.","Yeah, I think so.",,
But they've got a great bunch of people here.,Ma qui ci sono un sacco di persone.,But there are a lot of people here.,,
"You know, I think some of them didn't bite me lip a bit, but they can see what I'm trying to get at, which is good.","Sai, credo che alcuni di loro non mi abbiano morso un po' il labbro, ma riescono a vedere dove sto cercando di arrivare, il che e' un bene.","You know, I guess some of them didn't bite my lip a little, but they can see where I'm trying to get to, which is good.",,
You think some of this tribe are biting their lip and dealing with you?,Pensi che alcuni di questa tribu' si stiano mordendo il labbro e abbiano a che fare con te?,Do you think some of this tribe are biting their lip and dealing with you?,,
"Yeah, I think maybe one or two.","Si', forse uno o due.","Yeah, maybe one or two.",,
"I mean, I expected that.","Cioe', me lo aspettavo.","I mean, I expected that.",,
"You know, I didn't want to come on too strong because we are a team.","Sai, non volevo essere troppo forte perche' siamo una squadra.","You know, I didn't want to be too strong because we're a team.",,
Team.,Squadra.,Team.,,
"Tony, what are your weak points?","Tony, quali sono i tuoi punti deboli?","Tony, what are your weaknesses?",,
I've got a few.,Ne ho un po'.,I've got some.,,
"I've got a very dark sense of humor and yeah, some people don't appreciate it, so it could be my downfall, I guess.","Ho un senso dell'umorismo molto oscuro e si', alcune persone non lo apprezzano, quindi potrebbe essere la mia rovina, immagino.","I have a very dark sense of humor, and yes, some people don't appreciate it, so it could be my downfall, I guess.",,
But this is Survivor.,Ma questo e' il sopravvissuto.,But this is the survivor.,,
Anything can happen.,Puo' succedere di tutto.,Anything can happen.,,
Probably will deal with it.,Probabilmente se ne occupera'.,He'll probably take care of it.,,
Have alliances been formed today?,Sono state formate alleanze oggi?,Have alliances been formed today?,,
Yes.,Sì.,Yes.,,
Who's playing this game with honour?,Chi sta giocando a questo gioco con onore?,Who's playing this game with honor?,,
Any of you?,Nessuno di voi?,None of you?,,
Salah?,Salah?,Salah?,,
I'd like to think I'm a man of integrity so I want to be as honest as possible.,"Mi piacerebbe pensare di essere un uomo onesto, quindi voglio essere il piu' onesto possibile.","I'd like to think I'm an honest man, so I want to be as honest as I can be.",,
How did you feel about Isabelle pilfering the other tribes loot?,Come ti sei sentita a proposito del saccheggio di Isabelle alle altre tribu'?,How did you feel about Isabelle's looting the other tribes?,,
"Oh, well, you know, sometimes gotta do what you gotta do in order to some.","Oh, beh, sai, a volte devi fare quello che devi fare per un po'.","Oh, well, you know, sometimes you have to do what you have to do for a while.",,
"Isabelle, you probably delivered the lion's share of the loot in today's challenge.","Isabelle, probabilmente hai consegnato la parte del bottino del leone nella sfida di oggi.","Isabelle, you probably handed in the lion's booty share in today's challenge.",,
Are you feeling safe?,Ti senti al sicuro?,Do you feel safe?,,
"No, I'm not.","No, non lo sono.","No, I'm not.",,
Why not?,Perche' no?,Why not?,,
Because I think some people disagree with me giving the knife away.,Perche' credo che alcune persone non siano d'accordo con me che do via il coltello.,Because I think some people disagree with me giving away the knife.,,
Does anyone think that?,Qualcuno lo pensa?,Does anyone think that?,,
I personally don't think it was a wrong decision.,Personalmente non credo sia stata una decisione sbagliata.,"Personally, I don't think that was the wrong decision.",,
Anyone can see it as a weak decision.,Chiunque può vederla come una decisione debole.,Anyone can see it as a weak decision.,,
"Guys, 100k up for grabs.","Ragazzi, 100 chilometri in piu'.","Guys, 100 kilometers more.",,
Any of you want to say anything before we vote someone out tonight?,Qualcuno di voi vuole dire qualcosa prima di votare qualcuno fuori stasera?,Any of you want to say anything before you vote someone out tonight?,,
We gotta make it there as a team.,Dobbiamo farcela come squadra.,We have to make it as a team.,,
First to get that 100k.,Il primo a prendere quei centomila dollari.,"First to get that $100,000.",,
So that's all I have to say about that.,Quindi e' tutto quello che ho da dire a riguardo.,So that's all I have to say about it.,,
A team who has to vote someone out.,Una squadra che deve respingere qualcuno.,A team that has to repel someone.,,
It is time for each tribe member to vote out the person they want to see leave.,E' ora che ogni membro della tribù voti la persona che vuole vedere andare via.,It's time for every member of the tribe to vote for the person who wants to see them leave.,,
"Louisa, you're up first.","Louisa, tocca a te.","Louisa, you're up.",,
I'll go tell you the votes.,Vado a dirti i voti.,I'm gonna go tell you the votes.,,
"Once the votes are read, the decision is final.","Una volta letti i voti, la decisione è definitiva.","Once the votes have been read, the decision is final.",,
The person voted out will be asked to leave the Tribal Council area immediately.,Alla persona votata verrà chiesto di lasciare immediatamente l'area del Consiglio Tribale.,The person voted will be asked to leave the Tribal Council area immediately.,,
I'll read the votes.,Leggero' i voti.,I'll read the vows.,,
"First vote, Hannah.","Primo voto, Hannah.","First grade, Hannah.",,
"Second vote, Hannah.","Secondo voto, Hannah.","Second vote, Hannah.",,
That's two votes Hannah.,"Sono due voti, Hannah.","That's two votes, Hannah.",,
Izzy.,Izzy.,Izzy.,,
"Two votes Hannah, one vote Izzy.","Due voti Hannah, un voto Izzy.","Two votes Hannah, one vote Izzy.",,
Hannah.,Hannah.,Hannah.,,
"Three votes Hannah, one vote Izzy.","Tre voti Hannah, un voto Izzy.","Three votes Hannah, one vote Izzy.",,
Hannah.,Hannah.,Hannah.,,
"Four votes Hannah, one vote Izzy.","Quattro voti Hannah, un voto Izzy.","Four votes Hannah, one vote Izzy.",,
First person voted out of Mogad on is Hannah.,La prima persona che ha votato fuori da Mogad e' Hannah.,The first person who voted out of Mogad is Hannah.,,
You need to bring me a torch.,Devi portarmi una torcia.,I need you to bring me a flashlight.,,
I know the tribe has spoken.,So che la tribu' ha parlato.,I know the tribe has spoken.,,
It's time for you to bogaton tribe.,E' ora che tu vada alla tribu' di Bogaton.,It's time for you to go to Bogaton tribe.,,
Hannah did have a final plea for you.,Hannah aveva un ultimo patteggiamento per te.,Hannah had one last plea deal for you.,,
She said don't judge a book by its cover.,Ha detto di non giudicare un libro dalla copertina.,He said not to judge a book from the cover.,,
Maybe you've just done that.,Forse l'hai appena fatto.,Maybe you just did.,,
I know today hasn't been easy.,So che oggi non e' stato facile.,I know it wasn't easy today.,,
"Let me tell you, it's not going to get any easier.","Lascia che te lo dica, non sara' piu' facile.","Let me tell you, it won't be easier.",,
One more thing.,Un'altra cosa.,One more thing.,,
Here's some exclaim.,Ecco un po' di esclamae'ione.,Here's some exclamation.,,
Now you have fire.,Ora hai il fuoco.,Now you've got fire.,,
"Grab your stuff, head back to camp Hermosa.",Prendi la tua roba e torna al campo Hermosa.,Get your stuff and get back to Hermosa camp.,,
Your opposition tribe is about to enter.,La tua tribu' dell'opposizione sta per entrare.,Your opposition tribe is about to enter.,,
"I'm definitely feeling backstabbed, like I had an alliance.","Mi sento sicuramente pugnalato alle spalle, come se avessi un'alleanza.","I definitely feel stabbed in the back, like I have an alliance.",,
"Obviously it's a game and they're gonna do that, but I don't understand what I possibly did to where he vote me out.","Ovviamente e' un gioco e lo faranno, ma non capisco cosa ho fatto per farmi votare fuori.","Of course it's a game and they'll do it, but I don't understand what I did to get my vote out.",,
Welcome to Tribal Council.,Benvenuti al Consiglio Tribale.,Welcome to the Tribal Council.,,
"Just like Mogaton before you, you now have to vote out one of your own based on what you've learned about each other in just a few hours.","Proprio come Mogaton prima di voi, ora dovete votare fuori uno dei vostri sulla base di ciò che avete imparato l'uno sull'altro in poche ore.","Just like Mogaton before you, now you have to vote out one of your own based on what you've learned about each other in a few hours.",,
Let's start at the start.,Cominciamo dall'inizio.,Let's start at the beginning.,,
"Nathan, how do you feel about being outsmarted by your opposition tribe so early in this game?","Nathan, che ne pensi di essere piu' furbo della tua tribu' dell'opposizione cosi' presto in questo gioco?","Nathan, how do you feel about being smarter than your opposition tribe so soon in this game?",,
"We were robbed, weren't we?","Siamo stati derubati, vero?","We've been robbed, haven't we?",,
We were robbed.,Siamo stati derubati.,We've been robbed.,,
We were caught not thinking outside the square and I'm pretty confident as a group that won't be happening again.,Siamo stati beccati a non pensare fuori dalla piazza e sono abbastanza sicuro come un gruppo che non si ripeterà.,We were caught not thinking outside the square and I'm pretty sure as a group that won't repeat itself.,,
"Georgia, is this tribe too nice?","Georgia, questa tribu' e' troppo bella?","Georgia, is this tribe too beautiful?",,
Maybe we'll have to see sort of what happens further down the track.,Forse dovremo vedere cosa succede piu' avanti lungo la pista.,Maybe we'll have to see what happens later along the track.,,
Maybe.,Forse.,Maybe.,,
We're such a nice group of people.,Siamo un bel gruppo di persone.,We're a nice bunch of people.,,
I.,I.,I.,,
I really love this tribe.,Adoro questa tribu'.,I love this tribe.,,
It's got such a good vibe.,Ha un'atmosfera cosi' bella.,It has such a beautiful atmosphere.,,
You love every single one of them?,Ami ognuno di loro?,Do you love each one of them?,,
"Yeah, definitely.","Si', certo.","Yeah, sure.",,
For sure.,Certo.,Sure.,,
I do.,Si'.,Yeah.,,
I don't believe you.,Non ti credo.,I don't believe you.,,
I do.,Si'.,Yeah.,,
I really do.,Davvero.,Really.,,
"We're all different and I really, I really am so stoked with this tribe.",Siamo tutti diversi e sono davvero entusiasta di questa tribu'.,We're all different and I'm really excited about this tribe.,,
"Shannon, does everyone bring something to the table in this tribe?","Shannon, tutti portano qualcosa al tavolo in questa tribu'?","Shannon, does everyone bring anything to the table in this tribe?",,
"Yeah, absolutely.","Si', assolutamente.","Yeah, absolutely.",,
"I mean, everyone definitely has their own strengths and we're only just starting to see that on day one.","Voglio dire, ognuno ha sicuramente i propri punti di forza e stiamo solo iniziando a vederlo il primo giorno.","I mean, everyone definitely has their strengths and we're just starting to see it on the first day.",,
It's like the worst thing in the world to be here and to have to get rid of one of us when We've only just got started.,E' la cosa peggiore del mondo essere qui e sbarazzarsi di uno di noi quando abbiamo appena iniziato.,It's the worst thing in the world to be here and get rid of one of us when we just started.,,
"I mean, it really, really hits ya.","Cioe', ti colpisce davvero tanto.","I mean, it really hits you.",,
"Can you imagine how the opposition tribe, the perhaps winning tribe must be feeling right now?","Riesci a immaginare come si sentirà la tribù dell'opposizione, forse la tribù vincente in questo momento?","Can you imagine how the opposition tribe will feel, perhaps the winning tribe right now?",,
They had to do the same thing.,Dovevano fare la stessa cosa.,They had to do the same thing.,,
Yep.,Si'.,Yeah.,,
"But I don't think too kindly of them at the moment, so I'm not too worried about that.","Ma al momento non penso che siano troppo gentili, quindi non sono troppo preoccupato per questo.","But right now, I don't think they're too nice, so I'm not too worried about that.",,
Why's that?,Perche'?,Why?,,
"Oh, just.","Oh, solo...","Oh, just...",,
Just the start.,Solo l'inizio.,Just the beginning.,,
"I mean, I didn't realise it was heroes versus Villains from day one.","Cioe', non avevo capito che fossero eroi contro cattivi fin dal primo giorno.","I mean, I didn't realize they were heroes against bad guys from day one.",,
Now we know what game we're playing.,Ora sappiamo a che gioco stiamo giocando.,Now we know what we're playing at.,,
This is Survivor.,Questo e' il sopravvissuto.,This is the survivor.,,
Anything goes.,Tutto va bene.,Everything's fine.,,
"Dee, you came out of the blocks firing, being more than happy to label yourself as the villain.","Dee, sei uscito dai blocchi sparando, essendo piu' che felice di etichettarti come il cattivo.","Dee, you got out of the blocks by shooting, being more than happy to label yourself as the bad guy.",,
How's your tribe reacted to that?,Come ha reagito la tua tribu'?,How did your tribe react?,,
I'm not sure that I labelled myself yourself a villain.,Non sono sicuro di essermi definito un cattivo.,I'm not sure I called myself a bad guy.,,
"You ask the question if it would mean that you would succeed, would anyone be happy being the villain?","Ti chiedi se questo significherebbe che avresti avuto successo, qualcuno sarebbe felice di essere il cattivo?","Do you wonder if that would mean that you would succeed, would anyone be happy to be the bad guy?",,
I said if and maybe and succeed.,Ho detto se e forse e avere successo.,I said if and maybe and succeed.,,
I said yes.,Ho detto di si'.,I said yes.,,
"I did not put my hand up and say, boom, I'm the villain.","Non ho alzato la mano e ho detto, boom, sono io il cattivo.","I didn't raise my hand and I said, boom, I'm the bad guy.",,
"How much strategy has been going on in this tribe, Lee?","Quanta strategia c'e' in questa tribu', Lee?","How much strategy is there in this tribe, Lee?",,
There's definitely been some discussions going around camp.,Ci sono state sicuramente delle discussioni in giro per il campo.,There have certainly been discussions around the camp.,,
"Just gonna have to wait and see what transpires from all the discussions, I guess, that went on today.","Dovro' solo aspettare e vedere cosa e' successo a tutte le discussioni, immagino, e' successo oggi.","I'm just gonna have to wait and see what happened to all the arguments, I guess, it happened today.",,
Does it feel like there have been some alliances formed?,Ti sembra che ci siano state delle alleanze?,Does it look like there's been any alliances?,,
"Oh, to some degree there might, but not obvious.","Oh, in un certo senso potrebbe esserci, ma non ovvio.","Oh, in a way, there might be, but not obvious.",,
If there is.,Se c'e'.,If there is.,,
Is it obvious to anyone else?,E' ovvio per qualcun altro?,Is it obvious to anyone else?,,
"D, it's day one.","D, e' il primo giorno.","D, it's day one.",,
You don't know on day one.,Non lo sai il primo giorno.,You don't know the first day.,,
You made your intentions very clear right from the start.,Hai reso le tue intenzioni molto chiare fin dall'inizio.,You've made your intentions very clear from the start.,,
How safe are you feeling?,Quanto ti senti al sicuro?,How safe do you feel?,,
I would hope that I don't have anything to worry about.,Spero di non avere niente di cui preoccuparmi.,I hope I have nothing to worry about.,,
Doesn't mean that I'm not sitting here feeling my heart rolling.,Non vuol dire che non stia qui seduto a sentire il mio cuore rotolare.,It doesn't mean I don't sit here and hear my heart roll.,,
"Michael, have you seen much game playing?","Michael, hai visto molti giochetti?","Michael, have you seen a lot of games?",,
"Yeah, there's been a bit.","Si', c'e' stato un po'.","Yeah, it's been a while.",,
"Just been going around while they're working, talking to each other, so.","Vado in giro mentre lavorano, parlano tra loro, quindi...","I walk around while they work, they talk to each other, so...",,
"So, yeah, okay, it is time to vote.","Quindi, si', ok, e' ora di votare.","So, yeah, okay, time to vote.",,
"D, you're up first.","D, sei il primo.","D, you're the first.",,
"D you're an awesome girl, but this is a tribe of heroes and you're a village.","Sei una ragazza fantastica, ma questa e' una tribu' di eroi e sei un villaggio.","You're a great girl, but this is a tribe of heroes and you're a village.",,
I'll go tally the votes.,Vado a contarne i voti.,I'm gonna go count the votes.,,
"Once the votes are read, the decision is final.","Una volta letti i voti, la decisione è definitiva.","Once the votes have been read, the decision is final.",,
The person voted out will be asked to leave the Tribal Council area immediately.,Alla persona votata verrà chiesto di lasciare immediatamente l'area del Consiglio Tribale.,The person voted will be asked to leave the Tribal Council area immediately.,,
I'll read the votes.,Leggero' i voti.,I'll read the vows.,,
"First vote, D.","Primo voto, D.","First vote, D.",,
"Second vote, D.","Secondo voto, D.","Second vote, D.",,
"Third vote, D Again.","Terzo voto, di nuovo D.","Third vote, again D.",,
Barb.,Barb.,Barb.,,
"Three votes D, one vote Barb.","Tre voti D, un voto Barb.","Three D votes, one Barb vote.",,
D.,D.,D.,,
Four votes D.,Quattro voti D.,Four D votes.,,
D One vote Barb.,D Un voto a Barb.,D A vote in Barb.,,
