original,french,back_to_english
"So yeah, have a think about that proposition.","un jour , elle ' ' , , , ' , , , ' ' .","one day , she was to , and she ."
So I'm a senior sergeant with the police.,"je suis un de de , , , , , , de la ' , de la .","i am a of the , , , the , , , the the of the ."
I've spoken to people for nearly 20 years,"je ' ai ' ai ' un de ' , , ' ' , , ' ' .",i have a a . .
who've been not telling me the truth.,"oh ! ne m ' as pas , , ' ' , , ' ' , , ' ' .","oh , no , he would not to me ."
What are the skill sets that I'll have,"que ' est que j ' ai eu la vie de ' ' , , ' ' , , je ' ' ai ' un coup… .","what i i was i , i , i , and i ."
that the others won't have?,"ce n ' est pas la que tu as ' as pas , , de nous .","it ' not t be , , , you , and you , and we ."
We'll be picking up on the little cues and vibes,"nous sommes dans la chambre , et ' , , , , , et de .","we are all the , and the , and the , and the ."
and mannerisms around what they're doing,"et , ' , , ' ils qu ' ils ne ' ' pas de ' à la ' .",and as they did not wish to .
versus what they say.,"que ' ils ne ' ' pas pas , .",what do not reply .
"And we'll keep those long, because we can weave those.","et nous avons , , , , , , , , , , , , et nous nous ' .","and we , we were , , , , , , , , and we , we were to ."
"I think we should do D, because she's a sh**ster.","je ' ai qu ' elle est , , , ' elle , , , , ' ' .","i have it , she she , she she to her ."
100% a sh**ster.,un jour de la .,a day day .
"I really know very little about D,","je sais , c ' est que ' elle est , , ' ' , ,","i know that , she is , , she is ."
"but I just looked at her and I thought,","mais je me suis ' , et je ' ' ai , , , ' un , , ' un , ' un .","but i was a , and i , a a , and a ."
you're going to be a bit of trouble further down.,"tu as ' as un de de , , ' un de de .",you are a a a a a a . .
Nathan's coming now.,"les meurtriers de la , , ' ' .",the the of the the .
You've got to kind of watch how he is.,"tu as ' as , , , ' il , ' ' , , ' il de la ' .","you , , , he , , he ."
"He's thinking, we're just going to get voted off","il faut que nous sommes , , , nous , , , nous , nous .","we must have to , , we must be a , and we ."
because we're old.,"nous sommes bien , nous , nous .","we are , , we are ."
So don't play on that with him.,"ne ne pas pas pas la vie de la , , , , , ' un de de .","not not not to to the , , , , , , , , , , ."
"Yeah, I am concerned at this stage.","je , je m ' en pas , je me ' ' ai ' un .",i i not to to to . .
I'm the old man of the tribe.,"je suis le nom de la , , m ' a dit que le ' de la .","i am the the of the , , the the , the the ."
"There's Barb, obviously, who's on that sort of same","c ' est bien que ' elle est à , de la , , de la ' .","it is s that the the , , the the , , the the ."
40 to 50 age bracket with myself.,"pour que la ' de la , , de la , , de la .","to the the the the , , the the ."
"And we've got now, we've got five young ones","et nous sommes arrivés , ' on nous , , , , nous , , .","then we must have , , , we have to , , we are ."
as in their 20s.,"et que les jours de leur ' ils se ' , ils se roidissaient .","and they they they to the the , and they ."
"You could totally weave them into a mat, don't you reckon?","tu ne ' as pas , , , , , , , , , , , , , ' ' ?","you you not , , , , , , , , , , , ,"
"We'll need heaps of them, but there's quite a few around.","on dirait que , , , , , , , , , , , , , .","it may be , , , , , , , , , , , , , , ."
Michael's given me his word,"le vieux michaud , ' , , , ' il de la .","the old lady , he , to the the ."
that he wasn't going to vote me off.,"il ne m ' a pas de de ' , , ' ' , de la ' .",it seemed to me to to .
"If it broke down to four,","mais il ' était ' ' , , et de se coucher à la .","but he , he and and and ."
the four from this tribe were going through.,"les deux de de la , , les les les les et de .","the two murderers , the the , the the , and the ."
I'm unsure about that.,je suis bien que ' ' ' ' .,i am .
"Okay, so us three definitely together, right?","vous avez , , , , , , , , , ' ' , ,","you you , , , , , , , , , , , ,"
Yes.,"et non , ' .","no , ."
100%.,"mme raquin , ' ' .",madame raquin .
"One, two, three.","deux heures , lorsque la nuit ,","but nine o ' clock , the the"
Yeah.,"mme raquin , ' ' .",madame raquin .
We need a fourth.,"un jour de , , ' il .","one day , he had to ."
Yeah.,"mme raquin , ' ' .",madame raquin .
Who do you think?,qu ' est-ce que tu as ?,what do you mean ?
I like Nate.,je suis ' ai ' un .,i have a a . .
"No, no, no, no, no, no, no, no, no.","non non non , mais non , , , , , , , , , , , , , , , , , , , .","no , no , no , no , , , , , , , , , , , , , , , , , , , ."
"The old people, they already were going to target you two,","la jeune femme se disait , ils ne ' ' pas pas , , et ils , ' ils , ' ils , ' ils , et ils .","the other , they , and they , and they , and they , and they , and they , and they , to them ."
I heard.,je m ' avait prise d ' une voix morne .,i had a a to a . .
They were going to target one,ils ne ' ' ' ' à la de la .,they did not move .
because they thought you guys were getting too close.,"je ' ' ai parce qu ' elle est ' , ' elle , ' ' , .","i have to her , she she she ."
I think I made a mistake.,"je crois que je ' ai ' ai ' un , , ' un coup… de ' .","i have a a , , and i ."
"I already went to Nate and was like,","je ' étais étais à et je ' ' , , ' ' , et je ' ' , et je ' ' ' , et je ' ' .","i was and and and i , and i i , and i i ."
"hey man, you're the man.","tu es , , tu es ' as tué .","you are , , he exclaimed , you are ."
Yeah.,"mme raquin , ' ' .",madame raquin .
I reckon it should be us three and him.,"je me ' que nous ' ' et nous , et nous .",i have to and and and . .
"I don't, I don't, I don't think that's a good idea.","je ne sais pas , je ne sais pas , je ' ' ai , , , ' , , je ' ' ai ' , , je ' ' ai .","i don ' t know , i i , i i , i i , i i , i i ."
I reckon us three.,"je ' ai de ' , , ' ' .","i have , , ."
"Yeah, for sure.","un jour , pour la ' ,","a day day , the the"
What are you thinking tonight?,que vous ' ?,what do you mean ?
"I think I'm thinking the same thing as everyone else, which is, as long as it's not me.","je crois que je ne sais pas , c ' est que ' il y a , ' ' , , ' il y a , ' il .","i believe that i am not , , he , he would never have ."
Is there an idea getting thrown around?,"c ' est une ' un de de , , , ' un de de ' , , de la .","it was a a of , , a a , , and a a ."
"Well, it's the weakest person.","et c ' est que ' ' ' de la ' , de la ' .",and the the of the . .
Which is...,"ce qui m ' ont fait ,",that would be to to
Yeah. Yeah.,"mme raquin , qui les séparait .","madame raquin , who the the the the ."
I think it is.,"je suis bien , , ' ' ' , , ' ' .","i am , , , , , ."
The only person that probably wouldn't do that is Nate.,"ce n ' est pas vrai que tu n ' as pas , , , ' , , , , ' ' .","it is not , , , , , , , , , , ."
But I think it's all about the first couple of challenges and stuff.,"je me suis , , , , , , , , , , , , , , et de .","i am , , , , , , , , , , , , , and , and ."
"It's about strength, and, like, she's lovely, and she's mummy,","c ' est une ' , , , , , , , , , , , , , , , , ' elle , ' .","it ' s a , , she , , she , , , , , she , , she she to a a ."
but I don't need a mum. I need someone who can...,"mais je ne ' ai pas , , , ' un , ' un , ' un , ' un .","but one day , not a a a word ."
Yeah. ...run.,mme raquin m ' a dit .,madame raquin .
GENTLE ELECTRONIC MUSIC,"ses enfants , ' .",her mind .
GENTLE ELECTRONIC MUSIC,"ses enfants , ' .",her mind .
GENTLE ELECTRONIC MUSIC,"ses enfants , ' .",her mind .
GENTLE ELECTRONIC MUSIC,"ses enfants , ' .",her mind .
ELECTRONIC MUSIC,ses deux enfants .,their eyes were . .
ELECTRONIC MUSIC,ses deux enfants .,their eyes were . .
ELECTRONIC MUSIC,ses deux enfants .,their eyes were . .
ELECTRONIC MUSIC,ses deux enfants .,their eyes were . .
ELECTRONIC MUSIC,ses deux enfants .,their eyes were . .
ELECTRONIC MUSIC,ses deux enfants .,their eyes were . .
GENTLE ELECTRONIC MUSIC,"ses enfants , ' .",her mind .
"I'm, like, tossing up, like, cos everyone thinks Hannah's really weak and everything.","je suis , , , , , , , , , , , , , , , , , , , , , et de .","i am , , , , , , , , , , , , , , , , , , , , and laurent , and ."
And I could see that. I could definitely see that.,"je me souviens que j ' avais la nuit , , ' ' , , ' ' , , ' ' .","i had to the the , , i i to sleep ."
"But she is very strong, and she is helping out.","elle est est , elle est morte , elle est bien elle , elle est ' , elle est ' .","she is true , she she , she is not , to see her ."
"But I don't know, like, people see her as the weaker player.","mais , je ne ' ai pas , , , , , , ' , , ' ' , .","but i not , , i , , , i , , ."
"So... But then Tom, he's...","puis , il y a , ' il y a .","then , he he ."
I don't know if he's actually that strong.,"je ne sais pas ' il , ' ' , , ' ' , , ' ' , .","i don ' t know , , he , , he would not have to ."
And then... May have a point there.,"et puis , c ' est que ' elle est ' , elle est ' , et je .","and then , i i , she , she is ."
"He hasn't done anything strong to show us, you know what I mean?","il n ' est pas pas , tu ne ' as pas pas , tu es un , tu es un ?","you don ' t you , you you you not a a , , you you not a a a a a a ?"
He doesn't look that strong.,"il ne ' pas pas pas , , ' il ne ' ' .","he did not , , he ."
And then...,et puis elle elle elle se disait .,"then , when she had to to her her ."
I don't trust him.,"je ne sais pas ' ai pas , , ' ' .","i don not know , i am not . ."
and I haven't really talked to Hannah or Shay again.,"je ne ' ai pas , , ' ' , , ' ' , , ' ' .","i have no longer , , i ."
"because they have been going off with other people and doing things,","je ne ' ai pas de , et de ' , , et de ' , et de .","i don ' t know , and and and and and and ."
and I'm just wondering.,"et je m ' a , , je ' ' ai ' .",and i i i .
Everything is ultimately just gonna get us to win.,"tout est fini pour nous , , , , , ' nous , .","everything is to , , , , , we are ."
Same plan. Same plan.,"a la heures , et il ' ' ' .","at last , he and he ."
"So far, so good, yeah? So far, so good.","eh bien , tu es , , , , , , , , , , ' ' .","well , you are , , , , , , , you are ."
Yeah.,"mme raquin , ' ' .",madame raquin .
Always paranoid of what other people are seeing.,"a de ces choses , ' , de la , de la .","at the same of the , , the the of the ."
We can't do this again.,"nous ne pouvons pas pas la ' , nous .","we don ' t want to to , , we are not to ."
"Walk off then? Yeah. Yep, yep.","laurent , le soir , la , de la .","the the , the the the the the the ."
And a couple in survival is dangerous.,"et , ' , , ' un , de ' , , ' un de ' .","and , , , a a a word ."
"And so if they view us to be a strong couple,","et si elle ' ' , , , ' ils , ' ils , , et ils se ' .","and if they were they , they they , and they ."
"yeah, one of us is gonna be on the chopping block.","un jour , nous nous , , nous , , , , , et nous nous .","one day , we we , we , and , and we , and we , and we ."
I don't feel safe heading into tribal.,"je ne ' ai pas , , ' ' , , ' ' , , ' .","i have no more , , i ."
"I mean, who knows what could happen?","je sais pourquoi , que tu as ' as , , , , , , , , , , , , , .","i know , , , , , , , , , , , , , , , , ."
No-one is giving a clear number.,"un jour de ' , , , ' un de de .","one day , a a . ."
There's no majority vote yet.,il n ' y avait pas de de ' un de de .,"nothing , a a of ."
"So, so nervous.","et , ' est pas ' elle .",and she is not .
"I'm hoping I'm in a good position,","je suis ai de , , je m ' en pas , je me ' ' .","i am i , i i , i i to myself ."
but my heart is absolutely pounding.,"mais mon mari est bien , , ' ' .","but my husband is too , ."
"Being discussed, and I feel I have almost been instructed","j ' ai ai , , , je ' ' ai ' ai , , je me ' .","i have , i i , i i i to myself ."
to vote a certain way.,on aurait dit que les meurtriers de ' de la .,the murderer that the would have to the the .
CHEERING,un jour de,a day night .
Welcome to Tribal Council.,pour faire la ' de son fils .,to to her her .
"In this game, fire represents life.","cette vie , de la , , de la , , de la vie de la .","this time , the the , , the the , the the of the ."
"Once your fire is gone, you are gone from this tribe.","un mois , je ' ai , , , , , , tu es ' as tué .","a good , , i , i i , i , i , i ."
"Day one of Survivor New Zealand,","une fois de , , , ' ' , , ' ' , , et de ' .","a , , , , and , and ."
"day one of the Mogotron tribe, will be gone.","un jour , et , , , , , , , ' , .","one day , , and , and and laurent , and a ."
"Tom, how would you feel if that was you?","tu sais combien tu es ' as pas , , , tu as ' as pas , , tu as assassiné… .","you know how you you , you , you you , you you , you you you ."
I'd feel rough.,"je suis bien , , ' ' , , ' .","i am , , , , ."
"It's a big trip to make, and then to go back so early,","c ' est une ' , , , , , , , , , , , , et nous .","it was a , , , , , , , , , , and we , and we ."
so it'd be rough.,"c ' est toi qui nous ' , , .","it ' s not , to be . ."
"Louisa, do you think there's any game-playing going on","tu es , , , , , ' ' , , ' ' .","you are , , , , , ."
"already, day one of Survivor New Zealand?","un jour , , , de la , , de la , de la ?","one day , the the , the the , and the the the of the"
"Oh, people are talking and going off,","et , ' est pas ' un de de , et de ' .",and there is no a of a .
discussing who they think or what weaknesses people have.,"que ' est que ' ils ont fait , , , , , , , .","if they were , , , , , , they , to the ."
We hardly know each other.,"nous sommes tous mortels ,","we are all , , and the ."
"You don't even get to spend a night on the island,","nous ne pouvons pas , , , , , , , , , , nous , .","we don ' t be , , we we , we , we , we , to the . ."
and you've got to send one of your team members home.,"et vous ' ' avez de votre vie , et ' ' , de la , de la ' .","you see , , , and the , , and the ."
And it's not a nice feeling.,"et c ' est une ' ' , , ' il ne ' pas pas .","but , is not , , he ."
"Hannah, day one, how difficult is it to vote someone","c ' est bien un , , ' un , , , , ' un de ' , , ' un de ' .","it was a a , , , , , a a a a ."
out of this game when you've just met each other?,"que ' est un , , , , , , , , ' un de de ?","what a is , , , , , a a , , a ? ?"
It's hard.,c ' est bien qu ' elle est,it is s that that we are .
Hard.,"et non , ' ' .","no , ."
This is a hard game.,c ' est une ' ' un de ' .,a man .
It is.,c ' est que ' il y a .,it is s a .
You're here to play it?,"tu es ' as tué , la pauvre diable ?","you you , , the laurent , you ?"
"Yeah, man.","vous , , ' un ton de .","you , , ."
I've got things to prove.,"je suis ai de , ' ' , , ' ' , .","i am , , , , , ."
What have you got to prove?,que ' est que tu as ' as ? …,what do you say ?
"People often look at me and just think,","elle me ' est à , je m ' as , , et je m ' as dans la boutique .","i was to and i , and i , and the the the the the ."
"oh, here's a pretty girl in a dress","oh ! c ' est une ' de ' un , , ' un , ' un , ' un .","oh , it was a a , , a a a a ."
who does her hair and make-up.,"il se disait qu ' elle ne ' pas , et de ' .",he would have to to to her .
"She can't pull her weight, but I was out there","elle ne ' pas pas , je ne ' ai pas , , ' elle , je me ' .","she did not , , i i not to to . ."
"lifting massive rocks, you know,","mme raquin , ' as , , , , , , , , , .","madame raquin , , , , , , , , , ."
pulling all my power-lifting skills into play.,"mes regards , ' , , ' ' , de la ' .","my dear , , she continued to ."
You can't judge a book by its cover.,"elle ne ' pas pas la vie de ses ' , , ' un de ses ' ,","she did not even seek a word , and to the her ."
"You know, I've got a lot to prove.","tu sais , , ' est que j ' ai fait , ' un , ' un .","i know that , , , and i have a a . ."
What are you looking for in a good tribe member?,que vous avez fait de ? ?,what do you mean ? ? ?
Someone who's got my back.,"il me ' de mes ' , , ' un de ' ' .",it seemed to me to a a . .
Do you trust everyone?,"que ' est ' , , ' ' , ,","what is it , , , ?"
"Yes, to an extent.","oui , c ' est une ' de ' un de ' un de ' un de ' .","yes , a a a a a a a . ."
"At the end of the day, it comes down to it's in a game.","a la heures , la , , il ' ' , , ' il se ' , ' un de ' un de de .","at night , he went to , and he a few ."
"Things can happen, people can turn.","ils sont bien , , , , , , , , .","they are , , , , , , , , , ."
"Arby, you got Hannah's back?","vous avez , , de la , , de la , , de la .","you , , , the the , the the , the the of the ."
"I mean, you can't really have everyone's back.","je ne sais pas , tu , ' ' as pas , , , ' il y a , de la .","i don not t , , , , , i have not to to . ."
"I don't know who's got my back,","je ne sais pas , je ' ai ' , , , , ' , , je ' ' ai ' .","i don ' t know , i i , i i , i ."
I don't know who's back I've got yet.,"je ne sais pas , je ' ai ' , , , je ' ' ai ' , , je ' ' ai ' .","i don ' t know , i i , i i ."
"It's day one, it's still so, so early.","c ' est une ' , , , , , , , , , ' il y a , ' .","it is a , , , he , , , , ."
Anyone emerging as a leader?,"un jour de ' , , ' ' , , ' ' , ,","one day , , , and laurent ,"
"If anyone, I'd have to say old Tony here.","si je ne m ' ai pas , , , , , , , , , ' ai , , ' un .","if i had not , , i , , i , , , i , ."
He's had a wealth of experience building,il y avait une de de ' un de ' un de ' .,a a of a a a a . .
and he really knows his stuff.,"et il ' ' ' ' , , , , .","and he , to himself ."
I think we all listen and respect his opinion.,"je me souviens , et , , ' , , ' ' , , ' ' .","i looked , and and , and ."
"Tony, do you feel like you're a leader?","vous , tu as ' as , , , , , ' un de de , de tes enfants .","you , , , , , , , , you are a your . ."
"Yeah, I think I am.","un jour , je ' ai ' ai ' un , ' un .","one day , i i a a ."
"But they've got a great bunch of people here,","mais c ' est une ' ' un de ces , , , , , , et de ' .","but it was a a , , , , , , and a a ."
"you know, I think some of them have been","tu sais , , ' est que tu ' ' as pas , .","you know , , she said to me ."
"biting their lip a bit, but they can see","un an , , , , , , , , , , et de .","a , , , , , and , , and , and a ."
"what I'm trying to get at, which is good.","je me suis bien , , ' , , , , , , ' il y a des rentes .","i am , , , , , , , , , , i have a . ."
You think some of this tribe are,nous avons fait de de ' un de de .,a man of a a a . .
"Yeah, I think maybe one or two.","ils , je ne ' ai pas , , ' ils , ' , .","they would not have , and i , and i ."
"I mean, I expected that, you know,","je sais , je , ' ai , , , , , , , , , , .","i know , i , i i , , , , , , , and , ."
I didn't want to come on too strong,"je ne ' pas pas , ' ' de la ' , de la ' .",i don not t to the the . .
because we are a team.,nous nous sommes un jour de ' ' .,a word to us .
"Tony, what are your weak points?","votre existence , de votre vie , de l ' autre ,","your life , your life , the , of the , of the ."
I've got a few.,"je suis ' ai pas , , ' un .","i have not , and i ."
I've got a very dark sense of humour,"j ' ai une de de ' , , ' un de ' un .",i have a a a a a . .
and some people are going to appreciate it.,"et nous les choses de , , , , ' , , .","and we were to , , , and , and ."
"It could be my downfall, I guess,","ce serait ' ' est pas moi , je ' ' ai ' , , je ' ' ai ' un .","it was not , i i i ."
"but this is Survivor, anything can happen,","mais c ' est toi qui as ' as pas , , , ' un coup… de ' , .","but it is s a pity , he exclaimed , ."
probably we'll deal with it.,"c ' est que nous ' ' , , , nous .","it was be , , we we ."
Have alliances been formed today?,"est-ce que ' on est de , et de ' , et de ' .","it is a , and and and . ."
Yes.,"et non , ' .","no , ."
Who's playing this game with honour?,"qui sait que ' est est , , , , , , de la ?","who knows what is it , ? ? the the , ?"
Any of you?,"vous avez raison de ' , , ' ' ' ' , , ' ' .","you are right , , he ."
Sala?,un jour de,a day night .
"I'd like to think I'm a man of integrity,","je me suis bien , , je ' ai ' , , , , , ' un , tu es ' , , .","i am a , , i i , i , , i , i , ."
so I want to be as honest as possible.,"je me suis bien , ' ' , , ' ' , , ' ' , .","i am , , , , , , ."
How did you feel about Isabel pilfering,"comment veux-tu faire des choses de la , , et de .","how could you be the the the , and the ."
the other tribe's loot?,"les femmes de la , , de la , , de la .","the the of the , , the the , the the ."
"Oh, you know,","et , ' est que tu as ' as pas , , ' un coup… de ' .","and , you are , , , he ."
sometimes you've got to do what you've got to do,"si tu te ' , , , , , ' , , ' ' , , tu es ' as pas .","if you please , you , you you , you you , you ."
in order to survive.,pour aller faire la ' .,to go to bed .
"Isabel, you probably delivered the lion's share","tu as , , , , ' , de la , de la .","you , , , , , the the , , the the ."
of the loot in today's challenge.,"les gens de de la , , ' un de de , , et de ' .","the of of the , , and the , and the ."
Are you feeling safe?,"chrysalide , qui est ' , ?","what , who , ? ?"
"No, I'm not.","non , je ne ' ai pas .","no , i don ' t want to . ."
Why not?,pourquoi ne ' pas pas ?,why did not not
Because I think some people disagree,c ' est que ' ' ' ' ' ' ' un de ' un de de .,a moment . a moment .
with me giving the knife away.,"et , ' , , ' un de ' un de ' un .","and , a a a a a . ."
Does anyone think that?,"ce serait immoral , , ' est pas ' ' , , , , , .","it would be , , , , , , , ."
I personally don't think it was a wrong decision.,"je ne sais pas ' ai pas , , ' ' , , ' ' .","i don not t , , i , i , ."
Anyone can see it as a weak decision.,on aurait dit qu ' elle ne ' ' ' ' un de de .,it was to to to to .
"Guys, 100k up for grabs.","elle , et , ' elle , ' ' ' ' à la .","she she to herself , and she her ."
Any of you want to say anything,"mais , si tu ne ' as pas , , , ' , , .","but if you don ' t want to , , she ."
before we vote someone out tonight?,"un peu de , , , ' , , ' ' , , ' ' de la ' .","a little , , , , , ."
We've got to make it there as a team first,il est possible qu ' il y a des heures .,it is to to to .
"to get that 100k,","je ne ' ai ' ai pas , de la ' , de la ' .","i don ' t know the the , and the the the ."
so that's all I have to say about that.,"je ' ai que j ' ai eu la pensée de ' ' , , ' ' , , ' ' , , ' .","i have that i had the , , i i , to the . ."
A team who has to vote someone out.,"un mois de ' , , ' ' , de la ' de la .","a good , , the the of the ."
It is time for each tribe member,c ' est qu ' elle est ' de ' ' .,it is s .
to vote out the person they want to see leave.,"ils se ' de la , , ' ils , ' ils se roidissaient .","they they , they , they , to the them ."
"Luisa, you're up first.","vous avez , , ' un , ' un , ' un .","you may be a , a a . ."
I'll go tally the votes.,"je me suis , , ' un de ' un .",i felt a a .
"Once the votes are read, the decision is final.","un jour , ' est , , ' un , de , , et de ' .","one day , , and a a , and a ."
The person voted out will be asked,"l ' idée de ' , , , , , , .","the idea of this , , , and laurent ."
I'll read the votes.,"je me suis , de la ' .",i am to to the . .
First vote.,"un peu de ' , .",a little .
Hannah.,a la ' .,.
Second vote.,les deux meurtriers .,the two murderers .
Hannah.,a la ' .,.
"That's two votes, Hannah.","c ' est bien que ' ' un , , , , , , .","it is s a , , , , , ."
Izzy.,"mme raquin , ' ' .",madame raquin .
"That's two votes, Izzy.","c ' est bien qu ' ils ne ' ' pas pas , , et ils , ' , , .","it was not that they they not , and they , and they ."
"Two votes Hannah, one vote Izzy.","deux ou trois mille francs , les , , les deux , , les .","two three three thousand , , the , , and the three thousand francs ."
"Hannah, three votes Hannah, one vote Izzy.","parfois , les , , , , , , , , , , , les pétillements .","look , , , , , , , , , , , , the the ."
"Hannah, four votes Hannah, one vote Izzy.","and , , , , , , , , , , , , , , des de de .","but , , , , , , , , , , , , , , , , , , , , ."
First person voted out of Mogaton is Hannah.,"un ' est , , ' un , de , , , de la .","a , , , , , , , and a a ."
You need to bring me a torch.,mon mari est ' de de la ' de .,the is of the . .
"Hannah, the tribe has spoken.","le vieux michaud , qui , ' , , , , .","the old lady , the the , the the , the the ."
It's time for you to go.,"c ' est toi qui vous ' , , ' elle nous , .","it ' s you , she she , to the . ."
"Mogaton tribe, Hannah did have a final plea for you.","peu à peu , , ' , , , , , , , , ' un de de .","little by little , , , , , , , , , ."
She said don't judge a book by its cover.,"elle ne ' pas pas , elle ne ' pas pas un de de , , , ' un .","she did not , , she did not even seek a word ."
Maybe you've just done that.,"si tu as ' as , , , ' ' , , ' ' .","if you are , , , you are ."
"Let me tell you, it's not going to get any easier.","tu verras que tu ne ' pas pas , , ' il ne ' pas pas .","you can not t to to , he said ."
One more thing.,"un peu de , , ' ' , , ' ' .","a little , , and ."
Here's some flint.,c ' est bien que ' ' un de de .,that is a a . .
Now you have fire.,"maintenant , tu es ' as pas de .","but , you are , you are ."
"Grab your stuff, head back to camp.","votre tante est une de de , , ' un de de , .","your is a a of a , , a a , , and a ."
"Amosu, your opposition tribe is about to enter.","votre ami , et , , , , , ' , , ' ' .","your friend , , and , , and ."
I had an alliance.,j ' avais eu un ' un de ' ' .,i had a a .
Obviously it's a game and they're going to do that.,"c ' est une ' , , et , , , , ' , , et de ' .","it was a , and and , , and and and ."
But I don't understand what I possibly did to worry about me out.,"mais je ne ' ai pas , , je ne ' ai pas , , ' ' ai , je me ' ' ai","but i not not , i i , i i not to to ."
Welcome to Tribal Council.,pour faire la ' de son fils .,to to her her .
"Just like Mogaton before you, you now have to vote out one of your own","a vous , , tu es ' as , , , , , , ' un de tes enfants , et ' , de la ' .","you you , , , , , you , you , you , and you are , and you ."
based on what you've learned about each other in just a few hours.,"je ' ' ai , , , , , , , , ' un de ' un de ' un de ' .","i , a , , , , , a a a a . ."
Let's start at the start.,et la ' de la ' .,and the .
"Nathan, how do you feel about being outsmarted by your opposition tribe","tu as , , , , ' , , , , , ' un de de , , de la ' .","you , , , , , , , , , a a ."
so early in this game?,"alors , ' ' , , ' , , , , , , , , et de ' .","then , , , , , , , and , and ."
"We were robbed, weren't we?","nous n ' avons pas besoin de ' , , , , , , , , , , , , .","we not no longer , , , , , , , , , , , and ."
We were robbed.,nous étions tous les deux .,we were to to the . .
We were caught not thinking outside the square and I'm pretty confident,"nous ne ' avons pas de nous , , , ' il ne ' pas pas , et nous .","we don not t to , , and we , we , and we , we , to the ."
as a group that won't be happening again.,"comme il ne ' pas pas pas , , , , ' il ne ' pas pas .","i not not , , he , not to to ."
"Georgia, is this tribe too nice?","c ' est toi qui est ' , , ' , , , tu as ?","it is s you who , you , you ?"
Maybe.,un peu de .,a little . .
"We'll have to see sort of what happens further down the track, maybe.","nous sommes tous mortels , ' , , , , , , , , , , de la .","we must have , , , , , , , , , , and , , and the ."
We're such a nice group of people.,nous sommes un ' de de la de la .,this is a the of the .
I really love this tribe.,"je suis bien que ' ' ' ' ' ' , , ' ' .","i am , , ."
It's got such a good vibe.,c ' est une ' ' un de ' un de ' un de ' ' un de ' .,a a of a a a a . .
You love every single one of them?,"tu es ' as dans la vie de de la , de la .","you are the the the the the the , the the ."
"Yeah, definitely, for sure.","un jour , mais , ' ' ' , , ' ' .","one day , but she was not ."
I do.,et je m ' a dit que la ' .,and i told her .
I don't believe you.,"je ne sais pas ' ai pas , , ' ' , tu es ' as pas , et je .","i don ' t want to , , i , i i , you ."
I do.,et je m ' a dit que la ' .,and i told her .
I really do.,je ne ' ai pas .,i do not . .
We're all different and I really am so stoked with this tribe.,"nous sommes tous mortels , et , , ' , , ' , , nous nous .","we must have , and , and we , we were to to ."
"Shannon, does everyone bring something to the table in this tribe?","mme raquin , ' , , , , , , de la , , de la , de la ?","madame madame raquin , who the the , , the the , and the the the of the"
"Yeah, absolutely.","elle , ' , , ' elle .",she she .
"I mean, everyone definitely has their own strengths","je suis , , , ' ' , , ' ' , de la .","i am , , , , , , ."
and we're only just starting to see that on day one.,"nous nous sommes , , , , nous , , nous , , nous , nous .","we are , , we we , we , we , we , we , we , we shall see each other ."
It's like the worst thing in the world to be here,"c ' est que ' ' ' de la ' , de la , , ' un de ' , , ' ' .","it is a the of of the , , the the ."
and to have to get rid of one of us when we've only just got started.,"et nous nous avons dit que nous avons besoin de nous , nous , , nous , nous nous .","then we must have to to , , , and we , we , we are ."
"I mean, it really, really hits you.","je sais bien que ' il y a , , , tu es ' as , , tu es ' as pas , .","i know you that you are , , , i , you , you are ."
"Can you imagine how the opposition tribe,","tu veux que ' ' as , , , ' un de ' un de ' .","you may be , , , ."
"the perhaps winning tribe, must be feeling right now?","nous avons , , , , , , , , , , , , nous , , nous .","we , , , , , , , , , , , , , we , we , we , we , we were to ."
They had to do the same thing.,"ils n ' avaient plus qu ' à la ' , de la .",they had no longer to the .
"Yeah, but I don't think too kindly of them at the moment.","thérèse , je ne ' ai pas , , , je ne ' ai pas , .","i , i i not , , i , i i not to . ."
So I'm not too worried about that.,"je ne ' ai pas , ' ' , , ' ' , , ' ' .","i have not , , i , ."
Why is that?,c ' est toi qui n ' as pas pas un sou… .,it ' s not to to to the . .
"Oh, just the start.","et la vérité , la , , ' ' .","and , , the the ."
"I mean, I didn't realise it was heroes versus villains from day one.","je ne sais pas , je ' ' ai , , , ' ' , , je ' ' ai ' à la ' .","i don ' t know , i i , i i , i ."
Now we know what game we're playing.,"maintenant , nous sommes , ' nous , nous , nous nous .","now , we we , we , we , we , we ."
This is Survivor.,c ' est toi qui l ' as .,it was the to .
Anything goes.,"si elle est ' ,",if she is dead ?
"Dee, you came out of the blocks firing,","tu as , , , , , , , , , , , , et de .","you , , , , , , , , , , , , and laurent , and ."
being more than happy to label yourself as the villain.,"il aurait pu l ' idée de ' ' , , ' ' , de la ' de la vie de .","it was to to to , , and , and the ."
How's your tribe reacted to that?,"et que tu as ' as , , , , tu as ' as pas de de .","and you , you , you are , , you are ."
I'm not sure that I labelled myself a villain.,"je n ' ai pas besoin de ' ' un , ' un de ' ' un de ' un .",i could not a a a a a . .
"You asked the question,","mon cher , , ' il a la ' .","my dear , , he ."
"if it would mean that you would succeed,","si tu veux ' as , , , , , , , , , .","if you have , , , , , , , , , , ."
would anyone be happy being the villain?,"que ' ' ' ' , , , , , , , , de la ' , de la ' .","come , , , , , , the the , the the ."
