Start Time,End Time,Sentence,Corrected Sentence,Translation,Student_Emotion,Pipeline_Emotion,Core_Pipeline_Emotion,Corrected_Emotion
"00:09:32,000","00:09:33,000",Alsjeblieft.,Alsjeblieft.,Please.,neutral,neutral,neutral,neutral
"00:09:33,000","00:09:34,000",Dankjewel.,Dankjewel.,Thank you.,neutral,gratitude,happiness,neutral
"00:09:34,000","00:09:35,000",Het zijn er vijf.,Het zijn er vijf.,There are five.,neutral,neutral,neutral,neutral
"00:09:35,000","00:09:36,000",Oké.,Oké.,Okay.,neutral,neutral,neutral,neutral
"00:09:36,000","00:09:37,000",Wat wil je ermee kopen?,Wat wil je ermee kopen?,What do you want to buy with it?,neutral,curiosity,neutral,neutral
"00:09:37,000","00:09:38,000",Alle unieke dingen?,Alle unieke dingen?,All the unique things?,surprise,curiosity,neutral,neutral
"00:09:38,000","00:09:42,000","Ja, alleen eigenlijk dingen die nodig zijn om mij verder te brengen in het spel.","Ja, alleen eigenlijk dingen die nodig zijn om mij verder te brengen in het spel.","Yes, only really things that are necessary to progress me in the game.",neutral,determination,neutral,neutral
"00:09:42,000","00:09:44,000",Ik heb een dilemma voor jou.,Ik heb een dilemma voor jou.,I have a dilemma for you.,neutral,curiosity,neutral,neutral
"00:09:44,000","00:09:45,000",Oké.,Oké.,Okay.,neutral,neutral,neutral,neutral
"00:09:45,000","00:09:48,000","Stel, dat je mij twee coins teruggeeft.","Stel, dat je mij twee coins teruggeeft.",Suppose you give me two coins back.,neutral,neutral,neutral,neutral
"00:09:48,000","00:09:50,000",Dan krijg jij een hint.,Dan krijg jij een hint.,Then you get a hint.,neutral,curiosity,neutral,neutral
"00:09:50,000","00:09:54,000","Een hint, die kan jou iets opleveren in het huis.","Een hint, die kan jou iets opleveren in het huis.",A hint that can help you in the house.,neutral,curiosity,neutral,neutral
"00:09:54,000","00:09:59,000","Als jij die hint niet pakt, ga je in het huis met vijf Big Brother Coins.","Als jij die hint niet pakt, ga je in het huis met vijf Big Brother Coins.","If you don't take that hint, you go into the house with five Big Brother Coins.",neutral,neutral,neutral,neutral
"00:10:00,000","00:10:03,000","Als jij een hint wilt, geef je ons nu twee coins terug.","Als jij een hint wilt, geef je ons nu twee coins terug.","If you want a hint, give us two coins back now.",neutral,neutral,neutral,neutral
"00:10:03,000","00:10:07,000",Oké. Normaal beslis ik altijd alles samen met mijn partner.,Oké. Normaal beslis ik altijd alles samen met mijn partner.,Okay. Normally I always decide everything together with my partner.,neutral,caring,happiness,happiness
"00:10:07,000","00:10:08,000",Mag ik hem aankijken? Doe maar.,Mag ik hem aankijken? Doe maar.,Can I look at him? Go ahead.,neutral,desire,happiness,neutral
"00:10:09,000","00:10:10,000",Wat goed. Doen?,Wat goed. Doen?,How great. Doing?,happiness,curiosity,neutral,happiness
"00:10:11,000","00:10:12,000","Oké, dan gaan we dat doen.","Oké, dan gaan we dat doen.","Okay, then let's do that.",neutral,approval,happiness,happiness
"00:10:12,000","00:10:14,000",Oké. Dan mag ik de coins.,Oké. Dan mag ik de coins.,Okay. Then I can have the coins.,neutral,neutral,neutral,neutral
"00:10:14,000","00:10:16,000","Twee coins? Nee, twee.","Twee coins? Nee, twee.","Two coins? No, two.",neutral,neutral,neutral,neutral
"00:10:16,000","00:10:18,000",Twee stuks. Dank je wel.,Twee stuks. Dank je wel.,Two pieces. Thank you.,neutral,gratitude,happiness,neutral
"00:10:18,000","00:10:20,000",Je houdt er dus nog drie over.,Je houdt er dus nog drie over.,So you still have three left.,surprise,neutral,neutral,neutral
"00:10:20,000","00:10:23,000",Let goed op. Hier komt de tip.,Let goed op. Hier komt de tip.,Pay close attention. Here comes the tip.,neutral,curiosity,neutral,neutral
"00:10:23,000","00:10:27,000",Kijk elkaar diep in de ogen.,Kijk elkaar diep in de ogen.,Look deeply into each other's eyes.,neutral,curiosity,neutral,neutral
"00:10:28,000","00:10:32,000",Hou het wel voor je. Het kan een belangrijke hint zijn.,Hou het wel voor je. Het kan een belangrijke hint zijn.,Just keep it to yourself. It could be an important hint.,neutral,curiosity,neutral,neutral
"00:10:32,000","00:10:36,000",Dan nog een laatste punt. De telefoon.,Dan nog een laatste punt. De telefoon.,Then one last point. The telephone.,neutral,neutral,neutral,neutral
"00:10:36,000","00:10:40,000","Is dat ook een beetje wat je wil, eventjes alles achterlaten en focussen op jezelf?","Is dat ook een beetje wat je wil, eventjes alles achterlaten en focussen op jezelf?","Is that also what you want, to leave everything behind for a while and focus on yourself?",surprise,curiosity,neutral,neutral
"00:10:40,000","00:10:43,000","Ja, dat wel. Ik trek de deur rustig achter me dicht.","Ja, dat wel. Ik trek de deur rustig achter me dicht.","Yes, that's true. I quietly close the door behind me.",neutral,sadness,sadness,neutral
"00:10:43,000","00:10:47,000","Voordat je het huis ingaat, mag je nog heel even afscheid nemen van familie en van je...","Voordat je het huis ingaat, mag je nog heel even afscheid nemen van familie en van je...","Before you enter the house, you can say goodbye to family and your...",neutral,sadness,sadness,sadness
"00:10:47,000","00:10:50,000","We zijn niet zo erg, hè? We zijn best aardig.","We zijn niet zo erg, hè? We zijn best aardig.","We're not that bad, are we? We're quite nice.",happiness,approval,happiness,happiness
"00:10:53,000","00:10:54,000",Pops.,Pops.,Pops.,neutral,neutral,neutral,neutral
"00:10:54,000","00:10:57,000","Gaat niet, hè? Ja, daar ga ik niet van.","Gaat niet, hè? Ja, daar ga ik niet van.","Not possible, right? Yeah, I'm not going to like that.",neutral,disapproval,disgust,disgust
"00:10:58,000","00:11:00,000","Doei, liefje. Dag, schat.","Doei, liefje. Dag, schat.","Bye, honey. Bye, honey.",happiness,sadness,sadness,sadness
"00:11:00,000","00:11:02,000","Doei, schat. Kom er maar bij.","Doei, schat. Kom er maar bij.",Bye honey. Come join us.,happiness,caring,happiness,happiness
"00:11:02,000","00:11:04,000","O, ik weet het helemaal niet.","O, ik weet het helemaal niet.","Oh, I don't know at all.",surprise,confusion,sadness,sadness
"00:11:04,000","00:11:06,000","Lieve Ashley, het is tijd voor jou om te gaan.","Lieve Ashley, het is tijd voor jou om te gaan.","Dear Ashley, it's time for you to go.",neutral,sadness,sadness,neutral
"00:11:06,000","00:11:07,000",Jij mag zometeen door die draaideur.,Jij mag zometeen door die draaideur.,You can go through that revolving door in a moment.,neutral,neutral,neutral,neutral
"01:10:16,000","01:10:23,000","Basiri, dit is de allereerste nominatie van Big Brother 2024.","Basiri, dit is de allereerste nominatie van Big Brother 2024.","Basiri, this is the very first nomination of Big Brother 2024.",neutral,surprise,surprise,neutral
"01:10:23,000","01:10:29,000",Ergens deze week krijg jij de kans om een duo te nomineren.,Ergens deze week krijg jij de kans om een duo te nomineren.,Sometime this week you will get the chance to nominate a duo.,neutral,neutral,neutral,neutral
"01:10:31,000","01:10:34,000",Een waardevolle tip.,Een waardevolle tip.,A valuable tip.,neutral,neutral,neutral,neutral
"01:10:34,000","01:10:38,000",Hou de inhoud van het kistje geheim voor je medebewoners.,Hou de inhoud van het kistje geheim voor je medebewoners.,Keep the contents of the box secret from your fellow residents.,neutral,neutral,neutral,neutral
"01:10:38,000","01:10:43,000",Niemand hoeft te weten dat jij op dit moment al zo machtig bent.,Niemand hoeft te weten dat jij op dit moment al zo machtig bent.,No one needs to know that you are already so powerful right now.,neutral,neutral,neutral,neutral
"01:10:49,000","01:10:51,000","Eindelijk, dit zijn ze dan.","Eindelijk, dit zijn ze dan.","Finally, these are them.",neutral,neutral,neutral,neutral
"01:10:51,000","01:10:54,000",Alle bewoners van deze gloednieuwe reeks van Big Brother.,Alle bewoners van deze gloednieuwe reeks van Big Brother.,All the residents of this brand new series of Big Brother.,neutral,excitement,happiness,neutral
"01:10:54,000","01:10:57,000","Alhoewel, dat zeg ik nu wel, maar we weten allemaal...","Alhoewel, dat zeg ik nu wel, maar we weten allemaal...","Although, I say that now, but we all know...",neutral,realization,surprise,neutral
"01:10:57,000","01:11:00,000",dat Big Brother alles in één klap weer op zijn kop kan zetten.,dat Big Brother alles in één klap weer op zijn kop kan zetten.,that Big Brother can turn everything upside down in one fell swoop.,neutral,surprise,surprise,neutral
"01:11:00,000","01:11:03,000",Vanaf nu openen wij de livestreams...,Vanaf nu openen wij de livestreams...,From now on we open the live streams...,neutral,excitement,happiness,neutral
"01:11:03,000","01:11:06,000","en kan je alles, maar dan ook alles echt volgen...","en kan je alles, maar dan ook alles echt volgen...","and you can follow everything, absolutely everything...",neutral,happiness,happiness,happiness
"01:11:06,000","01:11:08,000",van onze dertien kerstverse bewoners.,van onze dertien kerstverse bewoners.,of our thirteen Christmas-new residents.,neutral,excitement,happiness,neutral
"01:11:08,000","01:11:11,000",Die livestreams kan je in Vlaanderen vinden op GoPlay...,Die livestreams kan je in Vlaanderen vinden op GoPlay...,You can find these livestreams in Flanders on GoPlay...,neutral,neutral,neutral,neutral
"01:11:11,000","01:11:15,000",of het telenetkanaal Play247. En in Nederland op Videoland.,of het telenetkanaal Play247. En in Nederland op Videoland.,or the telenet channel Play247. And in the Netherlands on Videoland.,neutral,neutral,neutral,neutral
"01:11:15,000","01:11:17,000",Belangrijk om erbij te vertellen.,Belangrijk om erbij te vertellen.,Important to mention.,neutral,neutral,neutral,neutral
"01:11:17,000","01:11:20,000","Als je naar de streams gaat, maak je een sprong in de tijd.","Als je naar de streams gaat, maak je een sprong in de tijd.","When you go to the streams, you jump back in time.",neutral,neutral,neutral,neutral
"01:11:20,000","01:11:23,000",Gelukkig is alles wat je dan even mist gewoon op tv te zien.,Gelukkig is alles wat je dan even mist gewoon op tv te zien.,"Fortunately, everything you miss can be seen on TV.",neutral,relief,happiness,happiness
"01:11:23,000","01:11:25,000",Vanaf morgen om precies te zijn.,Vanaf morgen om precies te zijn.,Starting tomorrow to be precise.,neutral,neutral,neutral,neutral
"01:11:25,000","01:11:28,000",Elke werkdag voor je in Nederland om half negen op RTL5...,Elke werkdag voor je in Nederland om half negen op RTL5...,Every working day for you in the Netherlands at half past eight on RTL5...,neutral,neutral,neutral,neutral
"01:11:28,000","01:11:32,000",en in Vlaanderen op GoPlay en om kwart over tien op Play4.,en in Vlaanderen op GoPlay en om kwart over tien op Play4.,and in Flanders on GoPlay and at a quarter past ten on Play4.,neutral,neutral,neutral,neutral
"01:11:32,000","01:11:35,000",Zaterdag zijn Geraldine en ik weer in deze studio...,Zaterdag zijn Geraldine en ik weer in deze studio...,Geraldine and I will be back in this studio on Saturday...,neutral,neutral,neutral,neutral
"01:11:35,000","01:11:37,000",met de allereerste liveshow.,met de allereerste liveshow.,with the very first live show.,neutral,excitement,happiness,neutral
"01:11:37,000","01:11:39,000",Een extra spannende uitzending...,Een extra spannende uitzending...,An extra exciting broadcast...,happiness,excitement,happiness,happiness
"01:11:39,000","01:11:42,000",want ondanks dat de bewoners pas net het huis in zijn gegaan...,want ondanks dat de bewoners pas net het huis in zijn gegaan...,because even though the residents have only just entered the house...,neutral,realization,surprise,neutral
"01:11:42,000","01:11:44,000",moet er alweer iemand weg.,moet er alweer iemand weg.,someone has to leave again.,neutral,sadness,sadness,neutral
"01:11:44,000","01:11:47,000",Of misschien wel twee. Of misschien niemand.,Of misschien wel twee. Of misschien niemand.,Or maybe two. Or maybe no one.,neutral,confusion,sadness,neutral
"01:11:47,000","01:11:51,000","Want je weet het, Big Brother is ook dit jaar mee doorgelost.","Want je weet het, Big Brother is ook dit jaar mee doorgelost.","Because you know, Big Brother has also continued this year.",neutral,neutral,neutral,neutral
"01:11:51,000","01:11:53,000","Ja, we zijn begonnen. Ik heb er echt heel veel zin in.","Ja, we zijn begonnen. Ik heb er echt heel veel zin in.","Yes, we have started. I'm really looking forward to it.",happiness,excitement,happiness,happiness
"01:11:53,000","01:11:55,000",Leuk dat je er weer bij bent. Tot morgen.,Leuk dat je er weer bij bent. Tot morgen.,Nice to have you back. See you tomorrow.,happiness,joy,happiness,happiness
"01:11:55,000","01:11:57,000",Ciao.,Ciao.,Ciao.,neutral,neutral,neutral,neutral
"01:12:01,000","01:12:03,000",Volgende keer.,Volgende keer.,Next time.,neutral,neutral,neutral,neutral
"01:12:03,000","01:12:05,000",Ronai. Andy Lano.,Ronai. Andy Lano.,Ronai. Andy Lano.,neutral,neutral,neutral,neutral
"01:12:05,000","01:12:08,000",Jullie zien hier vier bollenspiegels hangen.,Jullie zien hier vier bollenspiegels hangen.,You see four spherical mirrors hanging here.,neutral,neutral,neutral,neutral
"01:12:08,000","01:12:11,000",De eerste geheime opdracht van Big Brother is een feit.,De eerste geheime opdracht van Big Brother is een feit.,Big Brother's first secret assignment is a fact.,neutral,excitement,happiness,neutral
"01:12:11,000","01:12:15,000",En die spiegels moeten jullie in het huis plaatsen.,En die spiegels moeten jullie in het huis plaatsen.,And you have to place those mirrors in the house.,neutral,neutral,neutral,neutral
"01:12:15,000","01:12:17,000",Let's go.,Let's go.,Let's go.,neutral,excitement,happiness,happiness
"01:12:17,000","01:12:20,000",Gaat het hen lukken dit onopgemerkt te doen?,Gaat het hen lukken dit onopgemerkt te doen?,Will they be able to do this unnoticed?,neutral,curiosity,neutral,neutral
"01:12:20,000","01:12:22,000","Ja, maar ik heb echt koffie nodig, jongens.","Ja, maar ik heb echt koffie nodig, jongens.","Yeah, but I really need some coffee, guys.",neutral,desire,happiness,neutral
"01:12:22,000","01:12:25,000",Ik ben nog niet begonnen. Ik heb zo weinig energie.,Ik ben nog niet begonnen. Ik heb zo weinig energie.,I have not started yet. I have so little energy.,neutral,disappointment,sadness,sadness
"01:12:25,000","01:12:27,000",We beginnen van nu.,We beginnen van nu.,We'll start from now.,neutral,neutral,neutral,neutral
"01:12:27,000","01:12:29,000","Als er morgen geen koffie komt, dan ga ik echt naar huis.","Als er morgen geen koffie komt, dan ga ik echt naar huis.","If there's no coffee tomorrow, I'm really going home.",anger,disappointment,sadness,neutral
"01:12:29,000","01:12:30,000",Echt? Ja.,Echt? Ja.,Really? Yes.,surprise,surprise,surprise,surprise
"01:12:30,000","01:12:32,000","Nu ben je serieus? Ja, ik ben echt serieus.","Nu ben je serieus? Ja, ik ben echt serieus.","Now you're serious? Yeah, I'm really serious.",surprise,realization,surprise,surprise
"00:13:21,000","00:13:22,000",Cassave!,Cassave!,Cassava!,Neutral,excitement,happiness,happiness
"00:13:22,000","00:13:23,000",GEJUICH.,GEJUICH.,CHEERING.,Happiness,joy,happiness,happiness
"00:13:23,000","00:13:24,000",Klink je knollen?,Klink je knollen?,Do you sound like tubers?,Neutral,confusion,sadness,neutral
"00:13:24,000","00:13:25,000",Zo!,Zo!,Like this!,Neutral,neutral,neutral,neutral
"00:13:25,000","00:13:27,000","Ja, dat is super natuurlijk.","Ja, dat is super natuurlijk.","Yes, that's great of course.",Neutral,approval,happiness,happiness
"00:13:27,000","00:13:31,000",Het is een goed voedingsmiddel en je krijgt er ook langdurige energie van.,Het is een goed voedingsmiddel en je krijgt er ook langdurige energie van.,It is a good food and it also gives you long-lasting energy.,Neutral,approval,happiness,neutral
"00:13:31,000","00:13:35,000",Dus daar zijn we heel blij mee dat er cassave is gevonden.,Dus daar zijn we heel blij mee dat er cassave is gevonden.,So we are very happy that cassava has been found.,Happiness,joy,happiness,happiness
"00:13:35,000","00:13:36,000",Het is serieus.,Het is serieus.,It's serious.,Neutral,realization,surprise,neutral
"00:13:36,000","00:13:37,000",Wat is het lekkers he?,Wat is het lekkers he?,How delicious is that?,Neutral,joy,happiness,neutral
"00:13:37,000","00:13:38,000",We zijn bezig met vuur.,We zijn bezig met vuur.,We are dealing with fire.,Neutral,fear,fear,neutral
"00:13:38,000","00:13:39,000",En lachen nog meer?,En lachen nog meer?,And laugh even more?,Neutral,amusement,happiness,neutral
"00:13:39,000","00:13:40,000",Echt?,Echt?,Real?,Surprise,surprise,surprise,surprise
"00:13:40,000","00:13:41,000",Ja.,Ja.,And.,Surprise,neutral,neutral,surprise
"00:13:41,000","00:13:42,000",Top!,Top!,Top!,Neutral,approval,happiness,happiness
"00:13:42,000","00:13:43,000",MUZIEK.,MUZIEK.,MUSIC.,Neutral,neutral,neutral,neutral
"00:13:44,000","00:13:45,000",Micriënen voor alles he?,Micriënen voor alles he?,"Microphones for everything, right?",Neutral,neutral,neutral,neutral
"00:13:45,000","00:13:46,000",Ook in de keuken.,Ook in de keuken.,Also in the kitchen.,Neutral,neutral,neutral,neutral
"00:13:46,000","00:13:47,000",Ook in de keuken he?,Ook in de keuken he?,"In the kitchen too, right?",Surprise,neutral,neutral,neutral
"00:13:47,000","00:13:48,000",Thuis kook ik nooit.,Thuis kook ik nooit.,I never cook at home.,Neutral,neutral,neutral,neutral
"00:13:49,000","00:13:50,000",GELACH.,GELACH.,LAUGHTER.,Happiness,amusement,happiness,happiness
"00:13:50,000","00:13:56,000","Maar hier doe ik de keuken, want in mijn vorige expeditie heb ik heel veel cassave gegeten.","Maar hier doe ik de keuken, want in mijn vorige expeditie heb ik heel veel cassave gegeten.","But here I do the cooking, because in my previous expedition I ate a lot of cassava.",Neutral,pride,happiness,neutral
"00:13:56,000","00:13:58,000",Dus daar ben ik redelijk handig in geworden.,Dus daar ben ik redelijk handig in geworden.,So I've become quite adept at that.,Neutral,pride,happiness,neutral
"00:13:58,000","00:14:03,000",Dus de keuken is op de een of andere manier al heel gauw naar mij toe gevallen.,Dus de keuken is op de een of andere manier al heel gauw naar mij toe gevallen.,So somehow the kitchen fell to me very quickly.,Neutral,surprise,surprise,neutral
"00:14:03,000","00:14:10,000","Bertie maakt de cassave klaar, maar zij is per slot van rekening uit haar expeditie wel de cassave-koningin.","Bertie maakt de cassave klaar, zij is per slot van rekening uit haar expeditie wel de cassave-koningin.","Bertie prepares the cassava, after all she is the cassava queen from her expedition.",Neutral,admiration,happiness,happiness
"00:14:10,000","00:14:13,000","Ja, de koningin-prinses, de cassave-prinses.","Ja, de koningin-prinses, de cassave-prinses.","Yes, the queen princess, the cassava princess.",Neutral,admiration,happiness,happiness
"00:14:13,000","00:14:14,000",GELACH.,GELACH.,LAUGHTER.,Happiness,amusement,happiness,happiness
"00:14:14,000","00:14:15,000",MUZIEK.,MUZIEK.,MUSIC.,Neutral,neutral,neutral,neutral
"00:14:20,000","00:14:21,000",GEROEZEMOES.,GEROEZEMOES.,BUZZ.,Neutral,neutral,neutral,neutral
"00:14:27,000","00:14:29,000",Er zitten zoveel jongens.,Er zitten zoveel jongens.,There are so many boys.,Surprise,surprise,surprise,surprise
"00:14:29,000","00:14:32,000","Hier zitten er twee, daar zit er één.","Hier zitten er twee, daar zit er één.","Here are two, there is one.",Neutral,neutral,neutral,neutral
"00:14:32,000","00:14:34,000","Man, wat de hel!","Man, wat de hel!","Man, what the hell!",Anger,anger,anger,anger
"00:14:34,000","00:14:35,000","Go, go, go!","Go, go, go!","Go, go, go!",Neutral,excitement,happiness,neutral
"00:14:37,000","00:14:39,000","Je ziet krabbetjes, maar je kunt ze niet pakken.","Je ziet krabbetjes, maar je kunt ze niet pakken.","You see crabs, but you can't catch them.",Neutral,disappointment,sadness,neutral
"00:14:39,000","00:14:41,000",Dit is gewoon een game.,Dit is gewoon een game.,This is just a game.,Neutral,neutral,neutral,neutral
"00:14:41,000","00:14:42,000",Het is een balletje met krabben.,Het is een balletje met krabben.,It's a ball with crabs.,Neutral,curiosity,neutral,neutral
"00:14:42,000","00:14:43,000",Krab heeft groen.,Krab heeft groen.,Crab has green.,Neutral,neutral,neutral,neutral
"00:14:43,000","00:14:44,000","Kijk, achter!","Kijk, achter!",Look behind!,Fear,surprise,surprise,surprise
"00:14:45,000","00:14:46,000",Je staat er bijna op.,Je staat er bijna op.,You're almost there.,Neutral,encouragement,happiness,neutral
"00:14:46,000","00:14:47,000",Het is kansloos weer.,Het is kansloos weer.,The weather is hopeless.,Surprise,disappointment,sadness,sadness
"00:14:47,000","00:14:48,000","Ah, kansloos weer.","Ah, kansloos weer.","Ah, hopeless again.",Anger,disappointment,sadness,sadness
"00:14:48,000","00:14:49,000","Nee, nee, nee!","Nee, nee, nee!",No no no!,Neutral,disapproval,disgust,neutral
"00:14:49,000","00:14:50,000",In het poeltje.,In het poeltje.,In the pond.,Neutral,neutral,neutral,neutral
"00:14:50,000","00:14:52,000",De overige kampleden doen het rustig aan.,De overige kampleden doen het rustig aan.,The other camp members take it easy.,Neutral,approval,happiness,neutral
"00:14:52,000","00:14:54,000",Ze sparen hun energie.,Ze sparen hun energie.,They save their energy.,Neutral,approval,happiness,neutral
"00:31:04,000","00:31:05,000",Hé.,Hé.,Heh.,neutral,amusement,happiness,happiness
"00:31:05,000","00:31:06,000",Tijden.,Tijden.,Times.,neutral,neutral,neutral,neutral
"00:31:06,000","00:31:07,000","Oh, dat mag ook.","Oh, dat mag ook.","Oh, that's also allowed.",Surprise ,surprise,surprise,surprise
"00:31:07,000","00:31:08,000",Ik ben...,Ik ben...,I am...,neutral,neutral,neutral,neutral
"00:31:08,000","00:31:09,000","Tijden, aangenaam.","Tijden, aangenaam.","Times, pleasant.",neutral,joy,happiness,happiness
"00:31:09,000","00:31:10,000","Hé, aangenaam, Sonja.","Hé, aangenaam, Sonja.","Hey, nice, Sonja.",Happiness,joy,happiness,happiness
"00:31:10,000","00:31:11,000","Hé, ik ben Basiby.","Hé, ik ben Basir.","Hey, I'm Basir.",neutral,neutral,neutral,neutral
"00:31:11,000","00:31:12,000","Hé, aangenaam.","Hé, aangenaam.","Hey, nice.",Happiness,joy,happiness,happiness
"00:31:12,000","00:31:13,000",Belgisch.,Belgisch.,Belgian.,neutral,neutral,neutral,neutral
"00:31:13,000","00:31:14,000",België.,België.,Belgium.,neutral,neutral,neutral,neutral
"00:31:14,000","00:31:15,000",Jij bent Belgisch.,Jij bent Belgisch.,You are Belgian.,neutral,realization,surprise,neutral
"00:31:15,000","00:31:16,000",Ik ben Belgisch.,Ik ben Belgisch.,I am Belgian.,neutral,pride,happiness,neutral
"00:31:16,000","00:31:17,000",Ik ben Belgisch.,Ik ben Belgisch.,I am Belgian.,neutral,pride,happiness,neutral
"00:31:17,000","00:31:18,000",Ik ben Belgisch.,Ik ben Belgisch.,I am Belgian.,neutral,pride,happiness,neutral
"00:31:18,000","00:31:19,000",Ik ben Belgisch.,Ik ben Belgisch.,I am Belgian.,neutral,pride,happiness,neutral
"00:31:19,000","00:31:20,000",Ik ben Belgisch.,Ik ben Belgisch.,I am Belgian.,neutral,pride,happiness,neutral
"00:31:20,000","00:31:21,000",Ik ben Belgisch.,Ik ben Belgisch.,I am Belgian.,neutral,pride,happiness,neutral
"00:31:21,000","00:31:22,000",Ik ben Belgisch.,Ik ben Belgisch.,I am Belgian.,neutral,pride,happiness,neutral
"00:31:22,000","00:31:23,000",Ik ben Belgisch.,Ik ben Belgisch.,I am Belgian.,neutral,pride,happiness,neutral
"00:31:23,000","00:31:24,000",Ik ben Belgisch.,Ik ben Belgisch.,I am Belgian.,neutral,pride,happiness,neutral
"00:31:24,000","00:31:25,000",Ik ben Belgisch.,Ik ben Belgisch.,I am Belgian.,neutral,pride,happiness,neutral
"00:31:25,000","00:31:26,000","Hé, aangenaam.","Hé, aangenaam.","Hey, nice.",neutral,joy,happiness,happiness
"00:31:26,000","00:31:27,000",Welkom in...,Welkom in...,Welcome to...,neutral,joy,happiness,neutral
"00:31:27,000","00:31:28,000",Van waar?,Van waar?,From where?,Surprise ,curiosity,neutral,neutral
"00:31:28,000","00:31:29,000",Basie.,Bas.,Bas.,neutral,neutral,neutral,neutral
"00:31:29,000","00:31:30,000",Van Gent.,Van Gent.,From Ghent.,neutral,neutral,neutral,neutral
"00:31:30,000","00:31:31,000",Van Gent.,Van Gent.,From Ghent.,neutral,neutral,neutral,neutral
"00:31:31,000","00:31:32,000","Oké, ik ben van Antwerpen.","Oké, ik ben van Antwerpen.","Okay, I'm from Antwerp.",neutral,neutral,neutral,neutral
"00:31:32,000","00:31:33,000",Basie.,Bas.,Bas.,neutral,neutral,neutral,neutral
"00:31:33,000","00:31:34,000","Hi, Leni.","Hi, Leni.","Hi, Leni.",neutral,joy,happiness,neutral
"00:31:34,000","00:31:35,000","Hi, Leni.","Hi, Leni.","Hi, Leni.",neutral,joy,happiness,neutral
"00:31:35,000","00:31:36,000",Hallo.,Hallo.,Hallo.,neutral,joy,happiness,neutral
"00:31:36,000","00:31:37,000",Wat is je naam?,Wat is je naam?,What's your name?,neutral,curiosity,neutral,neutral
"00:31:37,000","00:31:38,000",Sonja.,Sonja.,Sonja.,neutral,neutral,neutral,neutral
"00:31:38,000","00:31:39,000",Sonja.,Sonja.,Sonja.,neutral,neutral,neutral,neutral
"00:31:39,000","00:31:40,000",Sonja.,Sonja.,Sonja.,neutral,neutral,neutral,neutral
"00:31:40,000","00:31:41,000",Sonja.,Sonja.,Sonja.,neutral,neutral,neutral,neutral
"00:31:41,000","00:31:42,000",Kom met je jas.,Kom met je jas.,Come with your coat.,neutral,neutral,neutral,neutral
"00:31:42,000","00:31:43,000",Leni.,Leni.,Leni.,neutral,neutral,neutral,neutral
"00:31:43,000","00:31:44,000",En goed eten.,En goed eten.,And good food.,neutral,joy,happiness,happiness
"00:31:44,000","00:31:45,000","Ja, ja, de...","Ja, ja, de...","I, I, de...",neutral,confusion,sadness,neutral
"00:31:45,000","00:31:46,000",Maar waar wacht...,Maar waar wacht...,But where wait...,Surprise ,confusion,sadness,sadness
"00:31:46,000","00:31:47,000","Ja, mama, ik ben...","Ja, mama, ik ben...","Yes, Mom, I'm...",neutral,neutral,neutral,neutral
"00:31:47,000","00:31:48,000",Ik ben...,Ik ben...,I am...,neutral,neutral,neutral,neutral
"00:20:18,000","00:20:20,000",We zijn nog vanaf twee uur rondjes aan het rennen door Rotterdam.,We zijn nog vanaf twee uur rondjes aan het rennen door Rotterdam.,We have been running laps through Rotterdam since two o'clock.,neutral,exhaustion,neutral,neutral
"00:20:20,000","00:20:21,000","Ja, kom maar.","Ja, kom maar.","Yes, come on.",anger,determination,neutral,neutral
"00:20:21,000","00:20:22,000","Ja, top.","Ja, top.","I, cannon.",neutral,neutral,neutral,neutral
"00:20:22,000","00:20:27,000",Terwijl Bishan en Shiva op hun schuilplek een oplossing hopen te bedenken voor hun treinkaartjesprobleem.,Terwijl Bishan en Shiva op hun schuilplek een oplossing hopen te bedenken voor hun treinkaartjesprobleem.,While Bishan and Shiva hope to find a solution to their train ticket problem in their hiding place.,fear,hope,happiness,neutral
"00:20:28,000","00:20:29,000",Penis!,Pernis!,Varnish!,anger,neutral,neutral,neutral
"00:20:29,000","00:20:35,000",Zijn collega's Davy en Linda tot hun opluchting ongezien met de watertaxi weggekomen.,Zijn collega's Davy en Linda tot hun opluchting ongezien met de watertaxi weggekomen.,"To their relief, his colleagues Davy and Linda escaped unnoticed by water taxi.",surprise,relief,happiness,happiness
"00:20:35,000","00:20:36,000",Wauw.,Wauw.,Wow.,surprise,surprise,surprise,surprise
"00:20:36,000","00:20:37,000",Dit is...,Dit is...,This is...,fear,neutral,neutral,neutral
"00:20:38,000","00:20:41,000",Binnen een kwartier staan wij in fucking penis.,Binnen een kwartier staan wij in fucking Pernis.,We will be in fucking Pernis within fifteen minutes.,anger,excitement,happiness,anger
"00:20:42,000","00:20:43,000",Niet normaal.,Niet normaal.,Not normal.,neutral,surprise,surprise,surprise
"00:20:43,000","00:20:47,000","Davy werkt voor Linda, die een eigen bedrijf heeft in hospitality en events.","Davy werkt voor Linda, die een eigen bedrijf heeft in hospitality en events.","Davy works for Linda, who has her own company in hospitality and events.",neutral,neutral,neutral,neutral
"00:20:47,000","00:20:51,000",Door hun krachten te bundelen denken ze de hunters steeds een stap voor te kunnen blijven.,Door hun krachten te bundelen denken ze de hunters steeds een stap voor te kunnen blijven.,"By joining forces, they think they can always stay one step ahead of the hunters.",neutral,optimism,happiness,happiness
